Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
04_2023;RIO  DAS  GAR ÇAS  I;4;CPPARN;CPPARN;BRASIL;31;13;6:30;21/JUL/2023;BARCO;INTERIOR;PASSAGEIROS;MOTOR;COLISÃO ;-6,30000000;-42,85166667;0;2;0;/1410114066;AÇO;
14_2023;E/M  JOÃO VITOR;4;CFAREM;CFAREM;BRASIL;49;16,2;08:15;15/JUL/2023;REBOCADOR/EMPURRADO;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;2,35000000;-54,78694444;0;0;0;210985119;AÇO;
13_2023;ANNA  KAROLINNE    II  -  BERTOLINI    XCII  -  BERTOLINI   CCXXII;4;CFAREM;CFAREM;BRASIL;105;21,51;17:25;11/JUL/2023;REBOCADOR/EMPURRADO;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-2,43333333;-54,60972222;0;0;0;210987910;AÇO;
02_2023;MISS   DAISY;2;CPCAJU;CPCAJU;BRASIL;2,4;7,1;01:00;10/JUL/2023;LANCHA;LONGO-CURSO;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-10,98333333;-36,95638889;0;0;0;4050239868;FIBRA;
14_2023;SOMMER   GRUN;1;DLANGR;DLANGR;BRASIL;3,9;10,17;  :DE;09/JULHO  D;LANCHA;LONGO-CURSO;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-23,10000000;-44,11916667;0;0;0;3813917291;FIBRA;
06_2023;BACHATA;5;DELUNA;DELUNA;ILHAS MARSHALL;30964;189;7:40;26/JUL/2023;NM PETROLEIRO;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-4,66666667;-48,56666667;0;1;0;SOLAS -IMO  9423906;AÇO;
32_2023;ESTRELA   PP  V;9;CPNAUS;CPNAUS;BRASIL;495;48;17:00;22/MAI/2023;FERRY-BOAT;INTERIOR;PASSAGEIROS E CARGA;MOTOR;COLISÃO ;-6,75000000;-62,37333333;0;0;0;11472685;AÇO;
31_2023;VDA  XXV;9;CPNAUS;CPNAUS;BRASIL;138,6;65;22:17;22/JUL/2023;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;ENCALHE;-2,46666667;-66,40916667;0;0;0;11467746;AÇO;
09_2023;BATATINHA    I;1;DLCABO;DLCABO;BRASIL;3,4;7,68;20:40;25/JUL/2023;VELEIRO;LONGO-CURSO;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-23,13333333;-42,18333333;0;0;1;4030119727;FIBRA;
33_2023;PETROBRAS    55;1;CPMCAE;CPMCAE;ILHAS MARSHALL;50,439;121,4;12:00;26/JUL/2023;PLATAFORMA;LONGO-CURSO;OUTRAS ATIVIDADES OU SERVIÇOS;SEM PROPULSÃO;ACIDENTE COM PESSOAS EM GERAL A BORDO;-21,98333333;-39,73944444;0;1;0;461E000962;AÇO;
24_2023;Primavera   III  -  SEM  NOME;4;CPBLEM;CPBLEM;BRASIL;509;60;6:00;29/JUL/2023;REBOCADOR/EMPURRADO;INTERIOR;REBOCADOR/EMPURRADOR;SEM PROPULSÃO;ADERNAMENTO;-1,48333333;-48,65000000;0;0;0;10203001;AÇO;
16_2023;Expresso   J  M;4;CFAREM;CFAREM;BRASIL;35;19,3;13:20;21/JUL/2023;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;AVARIA DE MÁQUINAS;;;0;0;0;001.142.466  - 4;AÇO;
006_2023;MINA   I;7;CPFBRA;CPFBRA;BRASIL;7,4;10,05;14:30;13/AGO/2023;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EXPLOSÃO;-15,81666667;-47,86638889;0;2;0;4030239625;FIBRA;
16_2023;SEM   NOME;3;CPFTZA;CPFTZA;BRASIL;NÃO INSCRITA;A SER APURADO;14:00;06/AGO/2023;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-2,90000000;-40,30361111;1;0;0;NÃO INSCRITA;FIBRA;
36_2023;A NUNES   II;9;CPNAUS;CPNAUS;BRASIL;498;39,57;14:00;13/AGO/2023;BARCO;INTERIOR;PASSAGEIROS E CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-3,23333333;-60,05472222;0;0;1;11435623;AÇO;
3_2023;TCHANGA;5;DLURUG;DLURUG;BRASIL;0;5;20:30;12/AGO/2023;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-3,61666667;-54,88305556;1;0;0;981M2021003974;ALUMÍNIO;
12_2023;Sport   87  -  Maragales;3;CPCEIO;CPCEIO;BRASIL;0;3,31;8:00;28/JUl/2023;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-8,98333333;-35,18277778;0;0;0;221M2021000542;FIBRA;
13_2023;Castillo   de  Herrera;3;CPCEIO;CPCEIO;BAHAMAS;8,698;139,35;-2:00;31/JUl/2023;NM PETROLEIRO;LONGO-CURSO;CARGA;MOTOR;ALAGAMENTO;-9,68333333;-35,75833333;0;0;0;SOLAS  -IMO  381E005356;AÇO;
14_2023;SEM   NOME;3;CPCEIO;CPCEIO;BRASIL;A SER APURADO;A SER APURADO;12:00;06/AGO/2023;A SER APURADO;A SER APURADO;A SER APURADO;A SER APURADO;EMBORCAMENTO;-9,41666667;-35,49777778;0;2;0;A SER APURADO;A SER APURADO;
31_2023;HERAKLITOS;1;CPVITO;CPVITO;PANAMÁ;22,863;128;0:00;31/JUL/2023;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;RUPTURA DE CABOS;-20,31666667;-40,33166667;0;0;0;SOLAS -IMO  9422794;AÇO;
32_2023;SSI  TRIUMPH;1;CPVITO;CPVITO;ILHAS MARSHALL;34,773;198,98;2:15;22/AGO/2023;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-20,28333333;-40,24555556;0;0;0;SOLAS -IMO  9713947;AÇO;
33_2023;FELICIDADE    V;9;CPNAUS;CPNAUS;BRASIL;0;8,02;13:30;30/JUL/2023;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-3,03333333;-60,10055556;0;0;0;10223843;FIBRA;
30_2023;CAPIT ÃO  MARGILL   -  MENEZES    F.;1;CPRIOJ;CPRIOJ;BRASIL;189;24,6;20:30;10//JUL/202;OUTRAS EMBARCAÇÕES;CABOTAGEM;CARGA;MOTOR;ABALROAMENTO;-0,86666700;-43,13611111;0;0;0;4039138864;AÇO;
09_2023;NM  KONSTANTINOS;2;DLHEUS;DLHEUS;LIBÉRIA;20,928;179,9;6:00;24/JUL/2023;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;PRESENÇA DE CLANDESTINO A BORDO;-10,43333333;-35,21666667;0;0;0;SOLAS -IMO  9608697;AÇO;
15_2023;ARGYROULA    GS  -  COBAL -II;3;CPFTZA;CPFTZA;ILHAS MARSHALL;21,483;177;6:39;27/JUL/2023;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ABALROAMENTO;-3,61666667;-38,46166667;0;0;0;SOLAS -IMO  9491587;AÇO;
21_2023;MAR  CRISTALINO    MS;5;CPGRAN;CPGRAN;BRASIL;99;23,8;18:00;01/AGO/2023;BARCO;CABOTAGEM;PESCA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-8,95000000;-51,51027778;1;0;0;4430123420;MADEIRA;
15_2023;JOS É MENDES   -  RICIERI   MASUTTI   -  MASUTTI   12;4;CFAREM;CFAREM;BRASIL;158;22,5;0:30;08/JUL/2023;REBOCADOR/EMPURRADO;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-2,40000000;-54,73750000;0;0;0;0 0 1 .0 2 1 .6 0 4   -9;AÇO;
17_2023;SAN  MARINO   III;4;CFAREM;CFAREM;BRASIL;1,361;64,2;17:00;23/JUL/2023;FERRY-BOAT;INTERIOR;PASSAGEIROS E CARGA;MOTOR;AVARIA DE MÁQUINAS;-2,23333333;-54,78416667;0;0;0;0 2 3 .0 9 2 .0 4 3   -8;AÇO;
