Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
12_20223;RHUAN   KAIKE;2;DLSEGU;DLSEGU;BRASIL;0;5;13:30;20/AGO/2023;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-17,33333333;-39,24361111;1;0;0;3 4 1 M 2 0 0 1 0 4 2 6 7 6;ALUMÍNIO;
4_2023;SEM   NOME;5;DLURUG;DLURUG;BRASIL;NÃO INSCRITA;A SER APURADO;20:30;16/AGO/2023;OUTRAS EMBARCAÇÕES;INTERIOR;SEM ATIVIDADE DEFINIDA;SEM PROPULSÃO;EMBORCAMENTO;-5,11666667;-56,55083333;1;0;0;N Ã O  IN S C R IT A;FIBRA;
6_2023;AGUAS   CANTANTES;5;CPFPOL;CPFPOL;BRASIL;49;19,4;14:08;13/AGO/2023;ESCUNA;INTERIOR;PASSAGEIROS;MOTOR;ARRIBADA;-3,40000000;-48,56333333;0;0;0;4 0 3 0 1 1 3 5 5 9;MADEIRA;NÃO POSSUI
38-A/2023;KIA  ROA;8;CPSANT;CPSANT;BRASIL;2,6;7,58;10:00;06/AGO/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;EXPOR A RISCO;-23,86666667;-46,13583333;0;0;0;4 0 3 0 2 4 1 9 7 2;FIBRA;
36_2023;PETROBRAS    52;1;CPMCAE;CPMCAE;ILHAS MARSHALL;60,924;125;13:30;10/AGO/2023;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇOS;SEM PROPULSÃO;ACIDENTE COM PESSOAS EM GERAL A BORDO;-21,90000000;-39,73583333;0;1;0;3 8 1 E 0 0 5 0 4 6;AÇO;
40-A/2023;SEM   NOME;8;CPSANT;CPSANT;A SER APURADO;NÃO INSCRITA;A SER APURADO;-3:00;21/AGO/2023;BOTE;A SER APURADO;SEM ATIVIDADE DEFINIDA;SEM PROPULSÃO;EMBORCAMENTO;-23,88333333;-23,88638889;2;0;0;N Ã O  IN S C R IT A;A SER APURADO;
39-A/2023;LS-05;8;CPSANT;CPSANT;BRASIL;316;31,5;15:00;18/AGO/2023;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-23,93333333;-46,31138889;1;0;0;4 0 1 9 9 5 7 1 4 2;FIBRA;
5_2023;Ferraz;5;DLURUG;DLURUG;BRASIL;14;16,05;19:30;26/AGO/2023;BALSA;INTERIOR;PASSAGEIROS E CARGA;SEM PROPULSÃO;QUEDA DE VEÍCULO NA ÁGUA;-4,20000000;-54,60444444;1;0;0;9 8 1 0 0 8 1 2 4 3;AÇO;
04_2023;SEM   NOME;2;CFJUAZ;CFJUAZ;BRASIL;A SER APURADO;A SER APURADO;14:00;27/AGO/2023;MOTO-AQUÁTICA ;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO ;-9,40000000;-40,50500000;1;0;0;A  S E R   A P U R A D O;FIBRA;
10_2023;BONS   AMIGOS;6;CFCUIA;AGCAGE;BRASIL;85;21,2;18:00;22/AGO/2023;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-16,73333333;-57,70444444;1;0;0;4 8 2 0 0 5 1 2 3 7;AÇO;
17_2023;DIANA   TIDE;3;CPFTZA;CPFTZA;BRASIL;341;45,15;8:00;12/AGO/2023;BARCO;APOIO MARÍTIMO;PASSAGEIROS E CARGA;MOTOR;EXPOR A RISCO;-2,95000000;-38,97583333;0;0;0;1 8 1 E 0 0 2 0 1 9;ALUMÍNIO;
17_2023;SEM   NOME;1;DLANGR;DLANGR;ARGENTINA;NÃO INSCRITA;A SER APURADO;11:00;15/AGO/2023;OUTRAS EMBARCAÇÕES;A SER APURADO;SEM ATIVIDADE DEFINIDA;MOTOR;NAUFRÁGIO;-23,16666667;-44,07972222;0;0;0;N Ã O  IN S C R IT A;A SER APURADO;
34_2023;HELIO   FERRAZ   I -  PERBRAS   II  -  SS  KOMBI;1;CPVITO;CPVITO;BRASIL;482;32;19:35;22/AGO/2023;REBOCADOR;APOIO MARÍTIMO;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-20,28333333;-40,24694444;0;0;0;3 8 1 3 8 8 1 0 6 7;AÇO;
33_2023;SSI  FORMIDABLE;1;CPVITO;CPVITO;ILHAS MARSHALL;63,51;200;11:00;21/AGO/2023;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-20,30000000;-40,14944444;0;1;0;S O L A S  - IM O   9 7 3 0 4 5 2;AÇO;
15_2023;Vila  dos  pescadores;3;CPCEIO;CPCEIO;BRASIL;A SER APURADO;A SER APURADO;19:00;20/AGO/2023;LANCHA;A SER APURADO;A SER APURADO;MOTOR;INCÊNDIO;-9,65000000;-35,70416667;0;0;0;A  S E R   A P U R A D O;A SER APURADO;
03_2023;LELECO;8;DLGUAI;DLGUAI;BRASIL;NÃO INSCRITA;4,99;13:00;20/AGO/2023;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-22,76666000;-53,30361111;0;0;1;N Ã O  IN S C R IT A;FIBRA;
37_2023;ANITA   GARIBALDI    MV  33;1;CPMCAE;CPMCAE;BAHAMAS;169,389;338,7;5:26;14/AGO/2023;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇOS;SEM PROPULSÃO;ACIDENTE COM PESSOAS EM GERAL A BORDO;-22,38333333;-40,10805556;0;1;0;4 0 3 E 0 0 0 2 9    7;AÇO;
03_2023;BLUE   POWER   -  SEM   NOME;2;CFJUAZ;CFJUAZ;BRASIL;0;3,56;14:00;17/AGO/2023;MOTO-AQUÁTICA ;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-12,11666667;-44,99750000;0;1;0;2 8 1 M 2 0 1 8 0 0 1 3 1 6;FIBRA;
09_2023;GREAT   FOREST;8;CPAGUA;CPGRAN;LIBÉRIA;35,224;196,28;-3:40;25/AGO/2023;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;AVARIA DE MÁQUINAS;-1,53333333;-48,35916667;0;0;0;S O L A S  -IM O    9 4 1 9 2 5 4;AÇO;
18_2023;PIRATA;3;CPFTZA;CPFTZA;BRASIL;NÃO INSCRITA;3,25;12:00;17/AGO/2023;JANGADA;INTERIOR;PESCA;VELA;EMBORCAMENTO;-4,11666667;-37,97388889;0;0;0;N Ã O  IN S C R IT A;MADEIRA;NÃO POSSUI
11_2023;OHANA   TOUR;1;DLCABO;DLCABO;BRASIL;49;15,9;13:30;26/AGO/2023;BARCO;INTERIOR;PASSAGEIROS;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-23,01666667;-42,08805556;0;1;0;3 8 4 0 1 7 1 7 7 6;MADEIRA;NÃO POSSUI
10_2023;JLM;1;DLCABO;DLCABO;BRASIL;9;11,7;11:00;25/AGO/2023;BARCO;CABOTAGEM;PESCA;MOTOR;AVARIA DE MÁQUINAS;-23,01666667;-42,05083333;0;0;0;3 8 8 0 0 0 0 6 0 3;MADEIRA;
41-A/2023;ÁTILA  I;8;CPSANT;CPSANT;BRASIL;3,5;9,3;15:00;21/AGO/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;ENCALHE;-23,96666667;-46,38555556;0;0;0;4 0 3 9 1 4 8 6 1 4;FIBRA;
13_2023;BABAYAGA;2;DLSEGU;DLSEGU;BRASIL;11,5;11,45;18:40;25/AGO/2023;VELEIRO;CABOTAGEM;ESPORTE E RECREIO;MISTA;DERIVA DA EMBARCAÇÃO;-17,31666667;-39,10250000;0;0;0;2 8 1 1 8 9 1 6 1 9 4;FIBRA;
37_2023;HELIO  FERRAZ   I -  MAERSK   KATALIN;1;CPVITO;CPVITO;SINGAPURA;24,481;183;4:23;25/AGO/2023;NM QUÍMICO;LONGO-CURSO;CARGA;MOTOR;ABALROAMENTO;-20,28333333;-40,24472222;0;0;0;S O L A S  - IM O   9 4 3 1 3 1 7;AÇO;
37_2023;CT  19;9;CPNAUS;CPNAUS;BRASIL;47;16;12:30;24/AGO/2023;REBOCADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-3,25000000;-60,00027778;0;0;0;1 1 4 4 0 4 1 4;AÇO;
15_2023;SEM   NOME;4;CPLUIZ;CPLUIZ;BRASIL;A SER APURADO;A SER APURADO;9:00;27/AGO/2023;A SER APURADO;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-2,48333333;-43,93861111;0;0;0;A  S E R   A P U R A D O;MADEIRA;NÃO POSSUI
14_2023;SEM   NOME;4;CPLUIZ;CPLUIZ;BRASIL;A SER APURADO;A SER APURADO;9:00;23/AGO/2023;BALSA;INTERIOR;PASSAGEIROS E CARGA;MOTOR;NAUFRÁGIO;-2,48333333;-45,95500000;0;0;0;A  S E R   A P U R A D O;AÇO;
10_2023;STAR  BIANCA;8;CPAGUA;CPAGUA;ILHAS  CAYMAN;43,158;228;10:35;27/AGO/2023;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-1,70000000;-48,31833333;0;1;1;S O L A S  - IM O   9 3 7 0 7 6 9;AÇO;
11_2023;CONQUISTA    I;8;CPAGUA;CPAGUA;BRASIL;5,02;8,63;14:40;27/AGO/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-23,18333333;-49,67972222;0;0;0;4 0 1 9 9 1 8 9 8 8;FIBRA;
38_2023;ZPUNK;1;CPMCAE;AGSJBA;BRASIL;129;23,5;18:00;24/AGO/2023;BARCO;CABOTAGEM;CARGA;MOTOR;AVARIA DE GOVERNO;-21,80000000;-40,06750000;0;0;0;4 4 3 0 4 9 8 2 5 3;AÇO;
16_2023;RUBI;4;CPLUIZ;CPLUIZ;BRASIL;A SER APURADO;A SER APURADO;13:00;28/AGO/2023;BARCO;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-2,53333333;-44,30416667;0;0;0;A  S E R   A P U R A D O;MADEIRA;NÃO POSSUI
35_2023;ODN   II;1;CPVITO;CPVITO;BAHAMAS;66,784;238;9:00;26/AGO/2023;PLATAFORMA;LONGO-CURSO;OUTRAS ATIVIDADES OU SERVIÇOS;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-21,28333333;-40,02416667;0;1;0;9 5 8 8 7 0 6;AÇO;
36_2023;MAIKAI   MARINA;1;CPVITO;CPVITO;BRASIL;23;15,13;9:00;26/AGO/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-20,30000000;-40,35750000;0;0;0;3 8 1 0 4 4 6 9 7 1;FIBRA;
20_2023;NAVEGANTE    -  SEMPRE   COM  DEUS   IV;4;CPSTNA;CPSTNA;BRASIL;1;8,85;16:00;19/AGO/2023;LANCHA;INTERIOR;PASSAGEIROS E CARGA;MOTOR;ABALROAMENTO;-0,03333333;-51,13861111;0;0;0;0 2 2 - 0 1 2 4 7 0 1;ALUMÍNIO;
11_2023;CRUZADO   II  -  VALE  VERDI   II;6;CFCUIA;AGCAGE;BRASIL;A SER APURADO;14,2;15:15;28/AGO/2023;REBOCADOR/EMPURRADO;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;QUEDA DE VEÍCULO NA ÁGUA;-9,95000000;-55,57611111;0;0;0;4 8 6 0 3 2 6 2 0 4;AÇO;
06_2023;PIPES  141;7;CFATOC;CFATOC;BRASIL;170;53,03;13:00;29/AGO/2023;BALSA;INTERIOR;PASSAGEIROS E CARGA;MOTOR;QUEDA DE VEÍCULO NA ÁGUA;-6,40000000;-8,55166667;0;0;0;1 2 7 0 0 1 3 7 7 7;AÇO;
36_2023;ECO  CLEANING   V  -  BRANDOCK    I;1;CPRIOJ;CPRIOJ;BRASIL;A SER APURADO;6;11:45;28/AGO/2023;CHATA;INTERIOR;CARGA;MOTOR;ABALROAMENTO;-23,00000000;-43,31111111;0;2;0;3 8 1 M 2 0 2 2 0 0 0 8 5 1;FIBRA;
39_2023;31  PETROBRAS    10000;1;CPMCAE;CPMCAE;ILHAS MARSHALL;61,402;211,3;-1:30;29/AGO/2023;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇOS;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-22,36666667;-40,03916667;0;1;0;3 8 1 E 0 0 7 5 7 0;AÇO;
22_2023;F.  ANDREIS   I -  DEUSA   DO  MAR;5;CPGRAN;CPGRAN;BRASIL;57;20;5:15;30/AGO/2023;REBOCADOR/EMPURRADO;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ENCALHE;-8,01666667;-52,07777778;0;0;0;4 6 1 0 0 3 0 8 7 0;AÇO;
19_2023;São  Bartolomeu    VI  -  Anna  Karoline   VII  -  Posto   Tropical;4;CFAREM;CFAREM;BRASIL;885;52,68;02:30;08/AGO/2023;LANCHA;INTERIOR;PASSAGEIROS E CARGA;MOTOR;ABALROAMENTO;-2,01666667;-54,09888889;0;0;0;0 2 3 .0 9 1 .2 7 6   -1;AÇO;
11_2023;RENATO   MASSARI   -  BERTOLINI    CCCLIXI   -  A SER APURADO;9;CFPVEL;CFPVEL;BRASIL;A SER APURADO;A SER APURADO;14:00;13/AGO/2023;REBOCADOR/EMPURRADO;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ENCALHE;-6,75000000;-62,38027778;0;0;0;A  S E R   A P U R A D O;AÇO;
20_2023;Fruto  do  Trabalho   -  sem  nome;4;CFAREM;CFAREM;BRASIL;A SER APURADO;A SER APURADO;06:00;24/AGO/2023;REBOCADOR/EMPURRADO;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-1,80000000;-53,47777778;2;0;1;A  S E R   A P U R A D O;AÇO;
38_2023;ÊXODO;9;CPNAUS;AGTINS;BRASIL;75;19,18;03:50;27/AGO/2023;BARCO;INTERIOR;PASSAGEIROS E CARGA;MOTOR;ENCALHE;-2,66666667;-42,82444444;0;0;0;1 2 0 7 6 4 0 8 3;MADEIRA;POSSUI
15_2023;DA  SOGRA   -  SEM  NOME;9;CFPVEL;CFPVEL;BRASIL;A SER APURADO;A SER APURADO;12:30;22/JUL/2023;LANCHA;INTERIOR;A SER APURADO;MOTOR;ABALROAMENTO;-12,65000000;-62,24944444;0;0;0;0 0 3 M 2 0 2 1 0 0 2 7 3 0;ALUMÍNIO;
14_2023;Imperador    do  Guapor é;9;CFPVEL;CFPVEL;BRASIL;85;21,78;11:30;21/GO2023;CHATA;INTERIOR;PASSAGEIROS E CARGA;MOTOR;NAUFRÁGIO;-11,31666667;-65,58111111;0;0;0;4 0 0 3 5 0 6 9;AÇO;
12_2023;ALMTE   ALFREDO   ZANNYS   II  -  SEM   NOME;9;CFPVEL;CFPVEL;BRASIL;223;28,3;1:45;20/AGO/2023;BARCO;INTERIOR;PASSAGEIROS;MOTOR;ABALROAMENTO;-7,56666667;-63,02111111;0;1;0;1 4 0 0 1 0 9 0 4;MADEIRA;POSSUI
13_2023;CT  14  -  MEGA   17  -  MEGA   21  -MEGA   24  -  BRASIL   -  SC  83  -  OUTRAS;9;CFPVEL;CFPVEL;BRASIL;153;22;1:00;18/AGO/2023;REBOCADOR/EMPURRADO;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-7,51666667;-63,01472222;2;0;0;1 1 4 6 4 5 9 3;AÇO;
16_2023;SEM   NOME;9;CFPVEL;AGACRE;BRASIL;NÃO INSCRITA;A SER APURADO;16:00;20/AGO/2023;BARCO;INTERIOR;PASSAGEIROS;MOTOR;NAUFRÁGIO;-8,75000000;-67,39888889;1;0;0;N Ã O  IN S C R IT A;MADEIRA;NÃO POSSUI
17_2023;PLATON;4;CPLUIZ;CPLUIZ;ILHAS MARSHALL;34,378;196;1:03;29/AGO/2023;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO ;-2,46666667;-44,37000000;0;0;0;S O L A S  - IM O   9 4 5 2 5 5 5;AÇO;
5_2023;SILVER;3;CPSSOA;CPSSOA;BRASIL;0;3,37;13:30;02/SET/2023;MOTO-AQUÁTICA ;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO ;-6,96666667;-34,87166667;1;1;0;1 8 1 M 2 0 2 2 0 0 0 0 1 6;FIBRA;
18_2023;KÁTIA  IV;1;DLANGR;DLANGR;BRASIL;24,7;15,2;13:00;02/SET/2023;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-23,05000000;-44,35472222;0;0;0;4 0 1 9 9 5 2 6 3 9;FIBRA;
005_2023;SEM   NOME;7;CFGOIA;CFGOIA;BRASIL;NÃO INSCRITA;A SER APURADO;07:00;28/AGO/2023;CHATA;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;ÁGUA ABERTA;-18,40000000;-49,20861111;2;2;0;N Ã O  IN S C R IT A;AÇO;
15_2023;MELJI;2;CPSALV;CPSALV;BRASIL;26,56;14,02;16:15;25/AGO/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-12,78333333;-38,51611111;0;1;0;4 4 1 8 9 2 5 4 8 1;FIBRA;
12_2023;CHARBEL;8;CPAGUA;CPAGUA;VICENTE   E GRANADI;17,859;171,93;19:00;20/AGO/2023;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;PRESENÇA DE CLANDESTINO A BORDO;-2,58333333;-9,23500000;0;0;0;S O L A S  - IM O   9 2 2 2 5 5 8;AÇO;
38_2023;CIDADE   DE  ANCHIETA;1;CPVITO;CPVITO;BAHAMAS;136,985;344,84;9:00;10/AGO/2023;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇOS;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-21,33333333;-40,05805556;0;1;0;7 3 8 2 2 4 9;AÇO;
005_2023;CT 58  -  JULIO   II;9;CFINGA;CFINGA;BRASIL;1,845;75;22:00;24/AGO/2023;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;ABALROAMENTO;-3,16666667;-67,93277778;0;0;0;1 1 4 6 7 5 1 7;AÇO;
40_2023;SAN  ANDRES   IV  -  SKANDI   FLUMINENSE;1;CPMCAE;CPMCAE;COLOMBIA;2,865;82;11:12;04/SET/2023;NM PETROLEIRO;LONGO-CURSO;CARGA;MOTOR;ABALROAMENTO;-22,38333333;-41,76666667;0;0;0;S O L A S   IM O   3 8 1 E 0 1 1 8 0 1;AÇO;
03_2023;SOL  MAR   BOAT  -  AMIGO   IRM Ã O;2;CPCAJU;CPCAJU;BRASIL;1;5,7;16:30;27/AGO/2023;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-11,08333333;-37,15638889;0;0;0;2 6 1 M 2 0 1 1 0 0 0 0 6 3;ALUMÍNIO;
12_2023;NORSUL   10;5;DLSFSL;DLSFSL;BRASIL;11,089;115,9;03:18;04/SET/2023;BARCAÇA;APOIO MARÍTIMO;CARGA;SEM PROPULSÃO;QUEDA DE PESSOAS NA ÁGUA;-2,20000000;-48,62194444;0;1;0;4 4 2 0 2 0 6 1 4 4;AÇO;
13_2023;LIA  M;8;CPAGUA;CPAGUA;CHIPRE;45,999;235;-3:30;05/SET/2023;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ENCALHE;-1,48333333;-48,48638889;0;0;0;S O L A S  - IM O   9 5 2 5 6 2 5;AÇO;
10_2023;DA  VINCI   -  CAPRICHO    I;8;DLTIAO;DLTIAO;BRASIL;49;19,14;21:30;09/SET/2023;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;ABALROAMENTO;-23,76666667;-45,40555556;0;3;0;3 8 2 8 8 8 8 8 1 9 9    9;FIBRA;
4F/2023;BONATTO;1;DLFURN;DLFURN;BRASIL;9,02;10,6;19:30;08/SET/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-20,68333333;-46,09694444;1;0;0;4 0 1 9 9 2 8 8 0 1;FIBRA;
23_2023;GUTERRES;5;CPGRAN;CPGRAN;BRASIL;0;5;-2:30;09/SET/2023;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;DEFICIÊNCIA DE ABASTECIMENTO;-8,16666667;-52,72583333;0;0;0;9 8 1 M 2 0 1 8 0 0 1 8 8 2;ALUMÍNIO;
19_2023;RENOVATTIO;1;DLANGR;DLANGR;BRASIL;4,7;9,3;16:50;08/SET/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;COLISÃO ;-23,06666667;-44,34305556;0;0;0;3 8 3 0 1 0 7 4 7 1;FIBRA;
_2023;DOCTOR;1;CPMCAE;AGSJBA;BRASIL;9,8;11,66;20:15;08/SET/2023;VELEIRO;CABOTAGEM;ESPORTE E RECREIO;MISTA;AVARIA DE MÁQUINAS;-21,91666667;-40,97722222;0;0;0;4 0 1 9 9 9 3 5 7 2;FIBRA;
10_2023;SEM   NOME;8;CPFTPR;CPFTPR;BRASIL;NÃO INSCRITA;5;17:15;09/SET/2023;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-20,18333333;-50,99500000;1;0;0;N Ã O  IN S C R IT A;ALUMÍNIO;
11_2023;DAIARA   E  GABRIEL;8;CPFTPR;CPFTPR;BRASIL;0;6;18:00;10/SET/2023;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-21,20000000;-49,67666667;1;0;0;4 0 5 M 2 0 2 2 0 0 2 4 7 5;ALUMÍNIO;
006_2023;MONTE   HOREBE   -  PORTO   DE  BENJAMIN    CONSTANT    -  OUTRAS;9;CFINGA;CFINGA;BRASIL;375;16,3;14:00;07/SET/2023;REBOCADOR/EMPURRADO;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-4,36666667;-70,02722222;0;0;0;0 0 1 - 1 4 4 0 2 7  -9;AÇO;
5A/2023;CHAPAD  ÃO;1;DLFURN;DLFURN;BRASIL;2,33;6,6;19:30;07/SET/2023;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;NAUFRÁGIO;-20,65000000;-46,27777778;0;0;0;4 0 5 0 2 4 2 9 0 7;FIBRA;
39_2023;BEATO   SALU  -  se  nome;1;CPVITO;CPVITO;BRASIL;0;5;8:43;14/JUL/2023;BOTE;INTERIOR;PESCA;MOTOR;ABALROAMENTO;-20,80000000;-40,65611111;0;0;0;3 4 1 M 2 0 1 3 0 0 7 0 3 0;ALUMÍNIO;
11_2023;GREAT;8;CPSANT;CPSANT;BRASIL;15,3;16,15;20:00;12/SET/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-23,95000000;-45,50916667;0;0;0;4 0 1 0 6 3 1 1 7 1;FIBRA;
39_2023;PUMA;9;CPNAUS;CPNAUS;BRASIL;32;23;-4:00;05/SET/2023;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;ENCALHE;-3,75000000;-62,25055556;0;0;0;1 0 2 1 1 1 9 5;ALUMÍNIO;
10_2023;RN  SILVA;5;CFALEG;CFALEG;BRASIL;0;5,95;10:30;09/SET/2023;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-6,35000000;-51,06944444;0;0;0;4 6 2 M 2 0 1 5 0 0 3 3 4 5;ALUMÍNIO;
09_2023;PS  EU  TE  AMO;1;DLRUCA;DLRUCA;BRASIL;6;8,3;12:30;11/SET/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-22,95000000;-43,90750000;0;0;0;2 8 1 0 2 8 4 6 1 0;FIBRA;
007_2023;SEM   NOME;7;CPFBRA;CPFBRA;BRASIL;NÃO INSCRITA;2,97;15:00;10/SET/2023;BOTE;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;NAUFRÁGIO;-16,70000000;-47,88111111;2;0;0;N Ã O  IN S C R IT A;A SER APURADO;
37_2023;GRAZI   ELA  I;1;CPRIOJ;CPRIOJ;BRASIL;15,8;13,5;13:10;09/SET/2023;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-22,93333333;-43,12861111;0;0;0;4 4 1 1 0 1 7 2 8 6 7;FIBRA;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;163;142;33;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
