Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO;POLUIÇÃO
14_2022;Pearl Island;1;DLRUCA;DLRUCA;HONG KONG;35,606;196,10;11:25;11/SET/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;MORTE DE PESSOAS;-20,61666667;-37,18833333;1;0;0;SOLAS-IMO 9801720;AÇO;;
37_2022;LAAX;4;CPSTNA;CPSTNA;ILHAS MARSHALL;82,265;228,99;22:00;30/AGO/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ATO DE PIRATARIA/ASSALTO/FURTO/ROUBO;3,10166667;-0,85222222;0;0;0;SOLAS-IMO 9512355;AÇO;;
38_2022;LEÃO DO MARAJÓ - VENEZA TROPICAL e  OUTRAS;4;CPSTNA;CPSTNA;BRASIL;306;43,52;14:45;03/SET/2022;FERRY-BOAT;INTERIOR;PASSAGEIROS E CARGA;MOTOR;ABALROAMENTO;-0,96777778;-51,30000000;0;0;0;021-098980-7;AÇO;;
08_2022;FLOR DE LUCENA;3;CPSSOA;CPSSOA;BRASIL;3;7,5;12:30;15/SET/2022;BOTE;INTERIOR;PESCA;MOTOR;ACIDENTE DE MERGULHO;-7,11166667;-34,66666667;0;1;0;2010061306;MADEIRA;NÃO POSSUI;
20_2022;MONTE SARMIENTO;3;CPFTZA;CPFTZA;BRASIL;69,132;272;12:45;08/SET/2022;NM PORTA-CONTENTOR;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-3,53361111;-38,78583333;0;1;0;SOLAS-IMO 381E011291;AÇO;;
19_2022;SEBASTIÃO CABOTO;3;CPFTZA;CPFTZA;BRASIL;42,564;228;6:40;28/Julho/20;NM PORTA-CONTENTOR;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-3,53361111;-38,78583333;0;1;0;SOLAS-IMO 0011434341;AÇO;;
57-A/2022;MULTAN;8;CPSANT;CPSANT;PAQUISTÃO;27,986;189,8;5:10;23/AGO/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;PRESENÇA DE CLANDESTINO A BORDO;-4,50000000;-4,50000000;0;0;0;SOLAS-IMO 9241671;AÇO;;
16_20222;CAÇULINHA;1;DLANGR;DLANGR;BRASIL;1,9;6;6:00;14/SET/2022;BOTE;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;;;0;0;0;3860007564;MADEIRA;NÃO POSSUI;
15_2022;SANTISSIMA TRINDADE III;1;DLANGR;DLANGR;BRASIL;6,10;11;11:00;15/SET/2022;BARCO;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-23,07916667;-44,34777778;0;0;0;3810482170;MADEIRA;NÃO POSSUI;
42_2022;O DANADO;1;CPRIOJ;CPRIOJ;BRASIL;0,10;11,96;4:15;08/SET/2022;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-22,91888889;-43,17027778;0;0;0;3810521418;FIBRA;;PP
6_2022;SEM NOME;8;CPFOZU;CPFOZU;BRASIL;A SER APURADO;A SER APURADO;7:00;11/SET/2022;BOTE;INTERIOR;A SER APURADO;A SER APURADO;NAUFRÁGIO;-26,16111111;-51,23416667;0;0;0;A SER APURADO;A SER APURADO;;
7_2022;FELIPE;8;CPFOZU;CPFOZU;BRASIL;A SER APURADO;A SER APURADO;15:50;14/SET/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-25,16111111;-54,59361111;0;0;0;9610099394;FIBRA;;
41_2022;NL-I -  ARANDAÍ - IPITINGA;4;CPBLEM;CPBLEM;BRASIL;96;19,85;1:00;13/SET/2022;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ADERNAMENTO;-1,03416667;-51,05638889;0;0;0;210986417;AÇO;;
4_2022;SEM NOME;8;DLPREP;DLPREP;BRASIL;A SER APURADO;A SER APURADO;5:30;22/SET/2022;A SER APURADO;A SER APURADO;A SER APURADO;A SER APURADO;SEM CÓDIGO DE NATUREZA DO ACIDENTE;;;0;0;0;A SER APURADO;A SER APURADO;A SER APURADO;
15_2022;VITORIA FELISIA;3;CPNATL;CPNATL;BRASIL;2,7;10,5;18:00;16/SET/2022;BARCO;CABOTAGEM;PESCA;MOTOR;EMPREGO DA EMBARCAÇÃO EM ILÍCITO PENAL OU FAZENDÁRIO;-5,76694444;-35,10194444;0;0;0;1810053731;MADEIRA;NÃO POSSUI;
13_2022;Lucas Renan  - SEM  NOME;3;CPCEIO;CPCEIO;BRASIL;0;3,27;13:00;18/SET/2022;MOTO -  AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-8,98222222;-35,18222222;0;2;0;221M2011004084;FIBRA;;
02_2022;O ILHA;4;CPPARN;CPPARN;BRASIL;MIUDA;4,9;10:00;15/SET/2022;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-2,86583333;-41,65055556;0;0;0;14M20190005621;FIBRA;;
5_2022;A SER APURADO;8;DLPREP;DLPREP;BRASIL;A SER APURADO;A SER APURADO;18:07;22/SET/2022;A SER APURADO;INTERIOR;A SER APURADO;A SER APURADO;SEM CÓDIGO DE NATUREZA DO ACIDENTE;;;0;0;0;A SER APURADO;A SER APURADO;A SER APURADO;A SER APURADO
24_2022;GENESIS VII;9;CPNAUS;CPNAUS;BRASIL;246;29;12:18;28/AGO/2022;BARCO;INTERIOR;PASSAGEIROS;MOTOR;COLISÃO;-0,41750000;-65,02083333;0;0;0;10211560;MADEIRA;NÃO POSSUI;
13_2022;A SER APURADO;9;CFPVEL;CFPVEL;BRASIL;NÃO INSCRITA;A SER APURADO;17:51;15/SET/2022;CANOA;INTERIOR;A SER APURADO;A SER APURADO;QUEDA DE PESSOAS NA ÁGUA;-7,43305556;-63,02722222;1;0;0;NÃO INSCRITA;A SER APURADO;A SER APURADO;
010_2022;Ladario;6;CPUMBA;CPUMBA;BRASIL;338;27,65;12:40;23/SET/2022;REBOCADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-21,69222222;-57,88388889;0;0;0;4810050271;AÇO;;PP
11_2022;SEM NOME;5;DLSFSL;DLSFSL;BRASIL;NÃO INSCRITA;A SER APURADO;17:00;18/SET/2022;BOTE;INTERIOR;SEM  ATIVIDADE DEFINIDA;MOTOR;MORTE DE PESSOAS;-26,56555556;-48,74805556;1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI;
40_2022;Marcos Silva -  outras;4;CPBLEM;CPBLEM;BRASIL;56;18;13:35;06/SET/2022;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-1,80055556;-50,34250000;0;0;0;11453621;AÇO;;
3_2022;Ipê;5;DLURUG;DLURUG;BRASIL;NÃO INSCRITA;5;15:00;21/SET/2022;CANOA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-27,90027778;-55,22694444;1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI;
21_2022;MATHEUS IV;3;CPFTZA;CPFTZA;BRASIL;1;5,2;15:00;19/SET/2022;JANGADA;CABOTAGEM;PESCA;MOTOR;EMBORCAMENTO;-3,80000000;-38,40000000;0;0;0;161M2007002188;MADEIRA;NÃO POSSUI;
12_2022;RIO ARAGUAIA -  E-158  -  E-1004 -  T-239 -  CNA-233;9;CFPVEL;CFPVEL;BRASIL;89;17,5;22:00;29/SET/2022;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ENCALHE;-6,58333333;-62,35000000;0;0;0;A SER APURADO;AÇO;;
43_2022;DEUS  ETERNO I -   SPARTA MX;1;CPRIOJ;CPRIOJ;BRASIL;12,8;12,8;15:00;22/SET/2022;BARCO;CABOTAGEM;PESCA;MOTOR;ABALROAMENTO;-22,79694444;-43,13444444;0;0;0;3870060590;MADEIRA;NÃO POSSUI;
15_2022;Shandong Renaissance;1;DLRUCA;DLRUCA;HONG KONG;109,982;299,68;4:25;22/SET/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ENCALHE;-23,06000000;-44,09166667;0;0;0;SOLAS-IMO 9910739;AÇO;;
38_2022;BOIADEIRO  ALIANÇA;4;CFAREM;CFAREM;BRASIL;17;16;19:00;20/SET/2022;BARCO;INTERIOR;CARGA;MOTOR;NAUFRÁGIO;-1,90972222;-54,71472222;0;0;0;220107807;MADEIRA;POSSUI;
59-A/2022;SAGA FLORA;8;CPSANT;CPSANT;HONG KONG;37,441;199,9;12:30;20/SET/2022;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;COLISÃO;-23,96444444;-23,96444444;0;0;0;SOLAS-IMO 9502348;AÇO;;
58-A/2022;MERCURY -  MESSIAS JE;8;CPSANT;CPSANT;HONG KONG;20,600;178,3;22:30;14/SET/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ABALROAMENTO;-24,08416667;-24,08416667;0;0;0;SOLAS-IMO 9746188;AÇO;;
14_2022;Albatroz III;3;CPCEIO;CPCEIO;BRASIL;3;7;7:20;26/SET/2022;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;NAUFRÁGIO;;;0;0;0;2412232016;FIBRA;;
28_2022;COSCO ANSTEEL;1;CPVITO;CPVITO;HONG KONG;150,971;327;14:30;22/SET/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;-20,28805556;-40,24750000;0;0;0;SOLAS-IMO 9377391;AÇO;;
17_2022;TAI PROSPERITY;4;CPLUIZ;CPLUIZ;PANAMÁ;41,372;225;11:00;22/SET/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;;-44,31638889;0;0;0;SOLAS-IMO 9303510;AÇO;;
39_2022;3 IRMÃOS;4;CPSTNA;CPSTNA;BRASIL;23;19,8;19:00;10/SET/2022;BARCO;INTERIOR;PASSAGEIROS E CARGA;MOTOR;NAUFRÁGIO;-0,02666667;-51,06388889;0;0;0;022-012260-1;MADEIRA;NÃO POSSUI;
37_2022;OLGA BAZZANELLA I;4;CFAREM;CFAREM;BRASIL;596;65,9;23:00;16/SET/2022;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;ENCALHE;-1,59638889;-54,91194444;0;0;0;NÃO INSCRITA;AÇO;;
36_2022;PEROLA;4;CFAREM;CFAREM;BRASIL;14,9;20;23:00;17/SET/2022;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;VARAÇÃO;-2,36194444;-54,57888889;0;0;0;230103103;ALUMÍNIO;;
14_2022;SC  51 - SC  58 - SC  66 - EDL XXIV;9;CFPVEL;CFPVEL;BRASIL;106;22,5;9:58;11/SET/2022;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-8,58944444;-63,75250000;0;0;0;11444614;AÇO;;
42_2022;Anna karoline  VII;4;CPBLEM;CPBLEM;BRASIL;885;52,68;13:00;28/SET/2022;BARCO;INTERIOR;PASSAGEIROS;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-1,75500000;-48,55527778;0;0;1;230912761;AÇO;;
08_2022;MILLENIUM VIDRAÇARIA -  sem nome;6;CFCUIA;CFCUIA;BRASIL;MIUDA;5,41;#VALOR!;0322;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;;#VALOR!;0;1;0;483M2021008486;ALUMÍNIO;;
10_2022;DR TAGARELA;6;CFCUIA;CFCUIA;BRASIL;3,51;7,9;15:40;24/SET/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EXPLOSÃO;;;1;2;0;1270020404;FIBRA;;
09_2022;SEM NOME;6;CFCUIA;CFCUIA;BRASIL;NÃO INSCRITA;5;15:30;23/SET/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-28,18250000;;1;0;0;NÃO INSCRITA;ALUMÍNIO;;
16_2022;ILENAO;5;DELUNA;DELUNA;LIBÉRIA;32,795;187,88;19:55;27/SET/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;MORTE DE PESSOAS;-28,18250000;-48,60222222;1;0;0;SOLAS-IMO 9524683;AÇO;;
44_2022;CAIO E  MANU;1;CPRIOJ;CPRIOJ;BRASIL;0;4,72;18:00;27/SET/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;-23,01583333;-43,29694444;0;0;0;381M2014003485;FIBRA;;
14_2022;APAPACHAR;5;CFALEG;CFALEG;BRASIL;5,21;8,7;14:00;17/SET/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-30,00805556;-51,25472222;0;0;0;4620814172;FIBRA;;
34_2022;PETROBRAS 26;1;CPMCAE;CPMCAE;PANAMÁ;20,313;91,96;13:40;29/SET/2022;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;QUEDA DE CARGA E/ OU EQUIPAMENTO NA ÁGUA;-22,46805556;-40,02833333;0;0;0;387E000569;AÇO;;A SER APURADO
04_2022;LUIZ ANTONIO;8;DLGUAI;DLGUAI;BRASIL;12;12;17:00;29/SET/2022;REBOCADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;EMBORCAMENTO;-23,30111111;-30,69166667;0;0;0;9620149653;AÇO;;A SER APURADO
16_2022;SEM NOME;3;CPNATL;CPNATL;BRASIL;NÃO INSCRITA;5;10:00;29/SET/2022;JANGADA;INTERIOR;PESCA;MISTA;ACIDENTE DE MERGULHO;-4,73333333;-36,91972222;0;1;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI;
43_2022;SEM NOME;4;CPBLEM;CPBLEM;BRASIL;NÃO INSCRITA;5;11:00;07/SET/2022;CANOA;INTERIOR;SEM  ATIVIDADE DEFINIDA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-0,99472222;-50,80777778;0;1;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI;
45_2022;VAMOS AMIGOS;1;CPRIOJ;CPRIOJ;BRASIL;3,8;7;3:00;02/OUT/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-22,95250000;-43,16916667;0;0;0;3810421774;MADEIRA;NÃO POSSUI;
4_2022;SEM NOME;5;DLURUG;DLURUG;BRASIL;NÃO INSCRITA;5;18:00;01/OUT/2022;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-29,30944444;-56,05444444;1;0;0;NÃO INSCRITA;ALUMÍNIO;;
17_2022;MARIA DA LUZ;3;CPNATL;CPNATL;BRASIL;10;9,48;8:00;30/OUT/2022;BOTE;CABOTAGEM;PESCA;MOTOR;ACIDENTE DE MERGULHO;;;0;1;0;1620007797;MADEIRA;NÃO POSSUI;
44_2022;Promessa de Deus 4°;4;CPBLEM;CPBLEM;BRASIL;1;7;12:00;29/SET/2022;BARCO;INTERIOR;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-0,95333333;-48,33250000;1;0;0;211001635;MADEIRA;NÃO POSSUI;
08_2022;SEM NOME;8;CPFOZU;CPFOZU;BRASIL;NÃO INSCRITA;A SER APURADO;18:00;01/OUT/2022;A SER APURADO;INTERIOR;A SER APURADO;A SER APURADO;NAUFRÁGIO;-24,48972222;-24,48972222;0;0;1;NÃO INSCRITA;A SER APURADO;;A SER APURADO
25_2022;R R SOARES I;9;CPNAUS;CPNAUS;BRASIL;NÃO INSCRITA;19,21;21:55;06/OUT/2022;OUTRAS EMBARCAÇÕES;INTERIOR;SEM  ATIVIDADE DEFINIDA;MOTOR;EXPLOSÃO;-3,15222222;-58,43666667;0;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI;
06_2022;A SER APURADO;1;CFBELZ;CFBELZ;BRASIL;A SER APURADO;3,5;14:30;02/OUT/2022;MOTO -  AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-18,92666667;-47,99694444;1;0;0;A SER APURADO;FIBRA;;
11_2022;SEM NOME;6;CFCUIA;CFCUIA;BRASIL;NÃO INSCRITA;3,31;19:00;05/OUT/2022;MOTO -  AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-15,74638889;;1;0;0;NÃO INSCRITA;FIBRA;;
009_2022;BRAZÃO DE  IPÊS;7;CPFBRA;CPFBRA;BRASIL;3;9;15:00;11/OUT/2022;OUTRAS EMBARCAÇÕES;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;-15,74638889;-47,87111111;0;0;0;NÃO INSCRITA;FIBRA;;
17_2022;SUL REA;5;CPGRAN;CPGRAN;BRASIL;1;8,9;14:53;12/JUN/2022;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;EMPREGO DA EMBARCAÇÃO EM ILÍCITO PENAL OU FAZENDÁRIO;-31,79750000;-52,35027778;0;0;0;4611512479;MADEIRA;NÃO POSSUI;
35_2022;PETROBRAS 62;1;CPMCAE;CPMCAE;ILHAS MARSHALL;154,998;327,5;9:00;04OUT/2022;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;ACIDENTE COM PESSOAS EM GERAL A BORDO;-21,93972222;-39,78527778;0;1;0;221E000674;AÇO;;
03_2022;VALENTE I -   A SER;7;CFATOC;CFATOC;BRASIL;2;7,31;22:00;08/OUT/2022;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-10,21388889;-48,36972222;0;1;0;524001144;FIBRA;;
35_2022;MG III;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;A SER APURADO;20:30;16/SET/2022;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;NAUFRÁGIO;-2,28000000;-54,09444444;0;0;0;NÃO INSCRITA;AÇO;;A SER APURADO
6A-A/2022;ARBORELLA;8;CPSANT;CPSANT;ILHAS MARSHALL;39,009;199,9;15:30;21/SET/2022;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;EXPOR A RISCO;-23,92527778;-23,92527778;0;0;0;SOLAS-IMO 9613288;AÇO;;
29_2022;MANUEL ALVES;1;CPVITO;CPVITO;BRASIL;296;32;9:00;26/SET/2022;REBOCADOR;APOIO-MARÍTIMO;REBOCADOR/EMPURRADOR;MOTOR;AVARIA DE MÁQUINAS;-19,85611111;-40,73416667;0;0;0;2412227837;AÇO;;A SER APURADO
61-A/2022;LEKLU;8;CPSANT;CPSANT;BRASIL;3,8;7,20;7:00;23/SET/2022;BOTE;INTERIOR;PESCA;MOTOR;ADERNAMENTO;-24,33027778;-24,33027778;0;0;0;4030047572;MADEIRA;NÃO POSSUI;
60-A/2022;ARBORELLA;8;CPSANT;CPSANT;ILHAS MARSHALL;39,009;199,9;15:30;21/SET/2022;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;EXPOR A RISCO;-23,92527778;-23,92527778;0;0;0;SOLAS-IMO 9613288;AÇO;;
12_2022;CAPÃO GRANDE;5;CPFPOL;CPFPOL;BRASIL;19,7;16;4:00;12/OUT/2022;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;RUPTURA DE CABOS;-26,59750000;-52,26861111;0;0;0;4430101680;AÇO;;
05_2022;PARANAYARA I  -  TANGO;8;DLGUAI;DLGUAI;BRASIL;328;19,98;17:00;10/OUT/2022;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;QUEDA DE VEÍCULO NA ÁGUA;;;0;0;0;A SER APURADO;A SER APURADO;;
11_2022;SEM NOME;6;CPUMBA;CPUMBA;BRASIL;A SER APURADO;A SER APURADO;19:30;10/OUT/2022;BOTE;INTERIOR;A SER APURADO;A SER APURADO;NAUFRÁGIO;-20,57083333;-51,88972222;1;0;0;A SER APURADO;A SER APURADO;;
18_2022;AGRI OCEAN;5;CPGRAN;CPGRAN;PANAMÁ;43,066;228,99;11:40;08/OUT/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-31,28000000;-50,50333333;0;1;0;SOLAS-IMO 9770684;AÇO;;
19_2022;NORD AEGEA;5;CPGRAN;CPGRAN;PANAMÁ;43,066;199,98;16:35;15/OUT/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ENCALHE;-32,20027778;-52,06444444;0;0;0;SOLAS-IMO 9770684;AÇO;;
6_2022;MBR-II;2;CPCAJU;CPCAJU;BRASIL;236;30,35;2:00;12/OUT/2022;REBOCADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;VARAÇÃO;-10,86055556;-36,95861111;0;0;0;3830038780;AÇO;;
16_2022;SEM NOME;3;CPCEIO;CPCEIO;BRASIL;A SER APURADO;A SER APURADO;#VALOR!;A 022;BARCO;INTERIOR;A SER APURADO;MOTOR;ENCALHE;;;0;0;0;A SER APURADO;A SER APURADO;;
18_2022;TANARUS;3;CPNATL;CPNATL;BRASIL;353;30,9;16:55;15/OUT/2022;REBOCADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-6,22500000;-34,91666667;0;1;0;3810497045;AÇO;;
15_2022;Deus é  Fiel 5;3;CPCEIO;CPCEIO;BRASIL;0;4,5;7:00;13/OUT/2022;JANGADA;INTERIOR;PASSAGEIROS;MOTOR;DERIVA DA EMBARCAÇÃO;;;0;0;0;221M2014002022;FIBRA;;
17_2022;VITORIOSO JE;5;DELUNA;DELUNA;BRASIL;53;18;20:25;15/OUT/2022;BARCO;CABOTAGEM;PESCA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-28,49583333;-48,70277778;0;1;0;4430114013;MADEIRA;NÃO POSSUI;
08_2022;DAVI FILHO -ph;2;CFJUAZ;CFJUAZ;BRASIL;0;3,37;18:00;12/OUT/2022;MOTO -  AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-9,45833333;-40,58500000;0;1;0;221M2012001387;FIBRA;;
11_2022;EROS IV;3;CPCIFE;CPCIFE;BRASIL;147;30;16:00;11/OUT/2022;REBOCADOR;CABOTAGEM;REBOCADOR/EMPURRADOR;MOTOR;ENCALHE;-7,71638889;-34,82750000;0;0;0;NÃO INSCRITA;AÇO;;
46_2022;BRAM BRASÍLIA;1;CPRIOJ;CPRIOJ;BRASIL;3,606;92,58;8:00;18/OUT/2022;SUPPLY;APOIO-MARÍTIMO;CARGA;MOTOR;INCÊNDIO;-24,63527778;-42,41194444;0;0;0;4430480770;AÇO;;
13_2022;TQ-22;8;CPFTPR;CPFTPR;BRASIL;130;19,5;23:00;12/OUT/2022;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-20,66472222;-51,14750000;0;1;0;4050143615;AÇO;;
18_2022;TREMEMBES;4;CPLUIZ;CPLUIZ;BRASIL;378;A SER APURADO;7:00;09/OUT/2022;DRAGA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;NAUFRÁGIO;-2,58861111;-42,27666667;0;0;0;4430474486;AÇO;;
62-A/2022;TAIPEI TRADER;8;CPSANT;CPSANT;LIBÉRIA;9,932;147,9;19:15;03/OUT/2022;NM PORTA-CONTENTOR;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-23,15638889;-46,34833333;0;1;0;SOLAS-IMO 9664275;AÇO;;
63-A/2022;STARNAV SAGITARIUS - ULTRA INTEGRITY;8;CPSANT;CPSANT;ILHAS MARSHALL;34,781;199,9;5:05;06/OUT/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ABALROAMENTO;-23,87972222;-23,87972222;0;0;0;SOLAS-IMO 9748083;AÇO;;
40_2022;SEM NOME;4;CPSTNA;CPSTNA;BRASIL;NÃO INSCRITA;A SER APURADO;4:00;03/OUT/2022;CANOA;INTERIOR;PASSAGEIROS;MOTOR;NAUFRÁGIO;;-50,89611111;0;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI;
47_2022;OLIN CONQUEROR;1;CPRIOJ;CPRIOJ;BRASIL;2,554;74,52;18:05;17/OUT/2022;SUPPLY;APOIO-MARÍTIMO;CARGA;MOTOR;INCÊNDIO;-25,64500000;-43,19166667;0;0;0;4430476276;AÇO;;
16_2022;CAPITÃO JOSÉ ALECRIM I e OUTRAS;9;CFPVEL;CFPVEL;BRASIL;109,00;19,65;2:40;03/OUT/2022;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-8,09583333;-62,95944444;0;0;0;10216651;AÇO;;
15_2022;Bertolini CIV -  LM A SER;9;CFPVEL;CFPVEL;BRASIL;312,0;30,55;2:30;27/SET/2022;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;-8,58166667;-63,72555556;0;0;0;230921434;AÇO;;
07_2022;A SER APURADO - A SER  APURADO;1;CFBELZ;CFBELZ;BRASIL;A SER APURADO;A SER APURADO;15:30;16/OUT/2022;MOTO -  AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-19,90388889;-44,15277778;0;1;0;A SER APURADO;FIBRA;;
17_2022;CIRRUS;8;CPAGUA;CPAGUA;BRASIL;7,82;2,90;13:30;19/OUT/2022;VELEIRO;LONGO-CURSO;ESPORTE E RECREIO;MISTA;NAUFRÁGIO;-25,86472222;-48,54583333;0;0;0;4010724471;FIBRA;;
31_2022;FPSO  CAPIXABA;1;CPVITO;CPVITO;BAHAMAS;128,60;320,80;7:30;21/OUT/2022;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;ACIDENTE COM PESSOAS EM GERAL A BORDO;-21,23666667;-0,66588889;0;1;0;341E000809;AÇO;;
11_2022;ADASTRA;2;CPSALV;CPSALV;PANAMÁ;25,554;183,0;13:30;23/OUT/2022;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;PRESENÇA DE CLANDESTINO A BORDO;-11,88333333;-36,94166667;0;0;0;SOLAS-IMO 9258557;AÇO;;
26_2022;ALEGRIA I;9;CPNAUS;CPNAUS;BRASIL;378;55,15;14:00;20/OUT/2022;FERRY-BOAT;INTERIOR;PASSAGEIROS E CARGA;MOTOR;ENCALHE;-1,87888889;-65,30222222;0;0;0;11471034;AÇO;;
17_2022;Belissima -  São Francisco - Sergipe;3;CPCEIO;CPCEIO;BRASIL;7,50;14,78;4:00;21/OUT/2022;LANCHA;INTERIOR;PASSAGEIROS;MOTOR;ABALROAMENTO;-9,76055556;-37,43361111;0;0;0;2420133498;MADEIRA;NÃO POSSUI;
65-A/2022;FLUMAR MACEIÓ;8;CPSANT;CPSANT;BRASIL;11,728;144,09;1:30;16/OUT/2022;NM QUÍMICO;LONGO-CURSO;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;ACIDENTE COM PESSOAS EM GERAL A BORDO;-24,21861111;-24,23888889;0;1;0;SOLAS -  IMO 9345893;AÇO;;
