Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO;POLUIÇÃO
16_2022;BICHO DO MATO -  CAMILINHA II;3;CPFTZA;CPFTZA;BRASIL;1;3,31;11:40;14/AGO/2022;MOTO -  AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-3,76388889;-38,75527778;0;1;0;013M2022000012;FIBRA;;
28_2022;SEBASTIÃO CABOTO;4;CFAREM;CFAREM;BRASIL;45,564;228;22:28;02/AGO/2022;NM PORTA-CONTENTOR;LONGO-CURSO;CARGA;MOTOR;ENCALHE;-2,00805556;-55,98111111;0;0;0;SOLAS-IMO 0011434341;AÇO;;
30_2022;SEM NOME;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;A SER APURADO;22:00;08/AGO/2022;CANOA;INTERIOR;SEM  ATIVIDADE DEFINIDA;MOTOR;NAUFRÁGIO;-2,42083333;-54,70777778;1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI;
31_2022;MICHAEL;4;CFAREM;CFAREM;BRASIL;14,9;15,2;16:00;14/AGO/2022;BARCO;INTERIOR;PASSAGEIROS E CARGA;MOTOR;ÁGUA ABERTA;-2,37444444;-55,07805556;0;0;0;120010241;MADEIRA;NÃO POSSUI;
17_2022;DOM ISAAC XII;3;CPFTZA;CPFTZA;BRASIL;90,19;22,3;3:37;16/AGO/2022;BARCO;LONGO-CURSO;PESCA;MOTOR;TRANSPORTE DE TÓXICOS/CONTRABANDO/MERCADORIA ILEGAL;-1,63916667;-38,73194444;0;0;0;4410123645;AÇO;;
19_2022;CIDADE DE ITAJAÍ;5;DCPJAI;DCPJAI;BAHAMAS;57,516;235;17:30;10/AGO/2022;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;ACIDENTE COM BALEEIRA;-26,68777778;-0,77530556;0;0;0;443-E0010-1;AÇO;;
15_2022;SPUTNIK;5;CPGRAN;CPGRAN;BRASIL;0;5,95;16:00;18/AGO/2022;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-30,21222222;-50,53861111;1;0;0;462M2021002080;ALUMÍNIO;;
21_2022;MANOBRA;9;CPNAUS;CPNAUS;BRASIL;NÃO INSCRITA;17;3:30;20/AGO/2022;BARCO;INTERIOR;SEM  ATIVIDADE DEFINIDA;MOTOR;NAUFRÁGIO;-2,20722222;-56,72166667;3;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI;
06_2022;SEM NOME;6;CFCUIA;CFCUIA;BRASIL;NÃO INSCRITA;A SER APURADO;#VALOR!;A ;FLUTUANTE;INTERIOR;SEM  ATIVIDADE DEFINIDA;SEM PROPULSÃO;QUEDA DE CARGA E/ OU EQUIPAMENTO NA ÁGUA;-10,21944444;-54,96972222;0;0;0;NÃO INSCRITA;A SER APURADO;;
35_2022;Bertolini XCII -  OUTRAS;4;CPBLEM;CPBLEM;BRASIL;105;23;12:45;08/AGO/2022;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-1,56833333;-48,51138889;0;0;0;210987910;AÇO;;
