Nº DE IAFN;NOME;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG EM DEC;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
34-A_2021;DIDI K;CPSANT;CPSANT;BRASIL;1,523;54,12;06:30:00;19/jan/21;REBOCADOR;APOIO-MARITIMO;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;-23,94583333;-46,30611111;0;0;9461740;AÇO;
36-A_2021;NAVEGADOR II;CPSANT;CPSANT;BRASIL;1,22;6,5;13:00:00;22/mai/21;LANCHA;INTERIOR;PESCA;MOTOR;EMBORCAMENTO;-24,72527778;-47,50166667;0;0;4019951993;FIBRA;
35-A_2021;SINO TRADER;CPSANT;CPSANT;PANAMÁ;40,16;225;06:50:00;18/mai/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;ACIDENTE COM ESCADA DE PORTALÓ;-23,97305556;-46,28666667;0;0;SOLAS-IMO 9283980;AÇO;
24_2021;ROCHA NETO I;CPNAUS;CPNAUS;BRASIL;18;13,9;07:00:00;06/mai/21;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;-3,43972222;-60,77472222;0;0;90011261;AÇO;
08_2021;FATIMAR IV -  NS SRA APARECIDA;DLSFSL;DLSFSL;BRASIL;1,7;5,7;12:00:00;06/jun/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-26,205;-48,75638889;0;0;4010823933;FIBRA;
13_2021;Campos Carrier - Petrobras P-19;CPMCAE;CPMCAE;BRASIL;29,999;83,34;06:55:00;11/mar/21;SUPPLY;CABOTAGEM;CARGA;MOTOR;ABALROAMENTO;-22,39277778;-40,055;0;0;4430122865;AÇO;
08_2021;CIDADE DE PINHEIRO;CPLUIZ;CPLUIZ;BRASIL;976;51,8;22:30:00;06/jun/21;FERRY BOAT;INTERIOR;PASSAGEIRO E CARGA;MOTOR;INCÊNDIO;;;0;0;1210109123;AÇO;
01_2021;OS PRIMOS;CFGOIA;CFGOIA;BRASIL;0,5;8;A SER APURADO;A SER APURADO;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;0;0;4054110959;FIBRA;
10_2021;EPIC  BORACAY;CPCIFE;CPCIFE;SINGAPURA;5,836;119,29;06:35:00;10/jun/21;NM DE GASAS LIQUEFEITOS;LONGO - CURSO;CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-7,19222222;-34,53666667;0;0;SOLAS-IMO 9521588;AÇO;
06_2021;SEM NOME;CPSSOA;CPSSOA;BRASIL;NÃO INSCRITA;A SER APURADO;22:00:00;08/jun/21;JANGADA;INTERIOR;SEM ATIVIDADE DEFENIDA;MOTOR;NAUFRÁGIO;-6,84944444;-34,86;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
05_2021;STAR NAVARRA;CPSSOA;CPSSOA;ILHAS MARSHALL;33,601;199;11:26:00;11/jun/21;NM  DE CARGA GERAL;LONGO - CURSO;CARGA;MOTOR;COLISÃO;;;0;0;SOLAS-IMO 9548823;AÇO;
;REM RIO BRILHANTE I - SEM NOME;CFPVEL;AGHMTA;BRASIL;18,3;14,5;22:00:00;11/jun/21;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;INCÊNDIO;-7,81555556;-63,04805556;0;0;30049792;MADEIRA;NÃO POSSUI
12_2021;STENIO  ARAUJO II;CFPVEL;CFPVEL;BRASIL;441;41,27;02:30:00;03/jun/21;BARCO;INTERIOR;PASSAGEIRO E CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-7,00277778;-52,69861111;0;1;31157238;AÇO;
7_2021;MAGIA BLACK;CPFPOL;CPFPOL;BRASIL;6,8;9,65;09:29:00;06/abr/21;VELEIRO;CABOTAGEM;ESPORTE E RECREIO;VELA;ENCALHE;-27,7;-48,56666667;0;0;4620227455;FIBRA;
37-A_2021;THE WISE;CPSANT;CPSANT;PANAMÁ;40,224;225;22:30:00;28/mai/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;EXPOR A RISCO;-23,96583333;-46,30194444;0;0;SOLAS-IMO 9318606;AÇO;
38-A_2021;GAROTA;CPSANT;CPSANT;BRASIL;2,5;7,1;09:00:00;05/jun/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EXPLOSÃO;-23,62027778;-47,40361111;5;0;4039129881;AÇO;
05_2021;BAKANA I;CFATOC;CFATOC;BRASIL;1,7;4,98;09:16:00;05/jun/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;0;0;5210217591;FIBRA;
06_2021;RUBRO NEGRO - SEM NOME;CFATOC;CFATOC;BRASIL;A SER APURADO;A SER APURADO;14:30:00;13/jun/21;CANOA;INTERIOR;A SER APURADO;MOTOR;ABALROAMENTO;-7,53916667;-49,37527778;3;0;A SER APURADO;ALUMÍNIO;
14_2021;NOVATO - DONA JANDIRA;CFAREM;CFAREM;BRASIL;29;13;00:00:00;04/jun/21;EMPURRADOR COM BALSA  (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-2,43638889;-54,68527778;0;0;10150196;AÇO;
13_2021;JEAN FILHO LIII - GIOVANA V -  GIOVANA XVIII;CFAREM;CFAREM;BRASIL;155;21,5;02:00:00;02/jun/21;EMPURRADOR COM BALSA  (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ENCALHE;-2,0675;-53,94944444;0;0;10214551;AÇO;
12_2021;Juliana;CFAREM;CFAREM;BRASIL;A SER APURADO;A SER APURADO;07:30:00;01/jun/21;BALSA;INTERIOR;SEM ATIVIDADE DEFENIDA;SEM PROPULSÃO;RUPTURA DE CABOS;-2,41944444;-54,70472222;0;0;A SER APURADO;AÇO;
10_2021;SEM NOME;CFCUIA;CFCUIA;BRASIL;A SER APURADO;A SER APURADO;11:00:00;27/mai/21;BALSA;INTERIOR;PASSAGEIRO E CARGA;MOTOR;QUEDA DE VEÍCULO NA ÁGUA;-10,67083333;-60,52277778;0;0;A SER APURADO;AÇO;
02_2021;SANTORINI;CFBELZ;CFBELZ;BRASIL;7;9,35;18:00:00;12/jun/21;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-18,96555556;-48,00111111;0;0;4039134630;FIBRA;
09_2021;PRECIOSA;DLSFSL;DLSFSL;BRASIL;1,5;7,2;06:00:00;11/jun/21;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-26,51972222;-48,80416667;0;0;4420238011;FIBRA;
06_2021;SEM NOME;CPNATL;CPNATL;BRASIL;NÃO INSCRITA;9,7;14:00:00;12/jun/21;OUTRAS EMBARCAÇÕES;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-6,05361111;-35,19777778;0;0;NÃO INSCRITA;FIBRA;
10_2021;PARNAÍBA I;CPFTZA;CPFTZA;BRASIL;182;37,5;13:20:00;07/jun/21;LANCHA;APOIO-MARITIMO;PASSAGEIRO E CARGA;MOTOR;COLISÃO;-2,96888889;-39,12583333;0;0;38104223050;AÇO;
09_2021;ANDALUCIA;CPLUIZ;CPLUIZ;LIBÉRIA;14,212;180;A SER APURADO;A SER APURADO;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;PRESENÇA DE CLANDESTINO A BORDO;;;0;0;SOLAS-IMO 9667576;AÇO;
25_2021;PETROBRAS 33;CPMCAE;CPMCAE;PANAMÁ;133,707;321,35;11:45:00;15/jun/21;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;ACIDENTES COM PESSOAS EM GERAL A BORDO;-22,37166667;-40,01722222;1;0;387E000909;AÇO;
30_2021;FORTE DE SÃO JOSÉ;CPSTNA;CPSTNA;BRASIL;41,799;225;09:00:00;11/jun/21;NM GRANELEIRO;CABOTAGEM;CARGA;MOTOR;ATO DE PIRATARIA/ASSALTO/FURTO/ROUBO;-0,01694444;-50;0;0;SOLAS-IMO 9512032;AÇO;
10_2021;SEM NOME;DLSFSL;DLSFSL;BRASIL;0;A SER APURADO;20:20:00;13/jun/21;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;EXPOR A RISCO;-26,25694444;-48,92027778;0;0;A SER APURADO;FIBRA;
13_2021;PROF. DAVID CUNHA - GUARITA;CPGRAN;CPGRAN;BRASIL;1,768;84,7;00:48:00;20/jun/21;NM GRANELEIRO;INTERIOR;CARGA;MOTOR;ABALROAMENTO;-31,77527778;-52,35416667;0;0;4620190748;AÇO;
11_2021;ARTEMIDA ONE;CPCIFE;CPCIFE;ILHAS VIRGENS;A SER APURADO;A SER APURADO;23:38:00;16/jun/21;VELEIRO;LONGO - CURSO;ESPORTE E RECREIO;MISTA;TRANSPORTE DE TÓXICOS/CONTRABANDO/MERCADORIA ILEGAL;-9,33388889;-31,20166667;0;0;A SER APURADO;FIBRA;
7_2021;SEM NOME;CPNATL;AGBRAN;BRASIL;NÃO INSCRITA;A SER APURADO;11:00:00;09/jun/21;JANGADA;A SER APURADO;PESCA;MOTOR;NAUFRÁGIO;-4,93388889;-37,15555556;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
