Nº DE IAFN;NOME;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);HORA;DATA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG EM DEC;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
16_2021;MERCOSUL SANTOS;DLANGR;DLANGR;BRASIL;25,888;210,49;09:30:00;20/abr/21;NM  DE CARGA GERAL;LONGO - CURSO;CARGA;MOTOR;INCÊNDIO;-23,31888889;-44,24972222;0;0;SOLAS-IMO 0010223860;AÇO;
28_2021;SAGA TIDE - SAGA FUTURE -NORSUL 6;CPVITO;CPVITO;HONG KONG;29,235;199,2;00:40:00;27/jun/21;NM  DE CARGA GERAL;LONGO - CURSO;CARGA;MOTOR;RUPTURA DE CABOS;-19,8425;-40,05638889;0;0;SOLAS-IMO 8918277;AÇO;
15_2021;BRANAVE V;CPGRAN;CPGRAN;BRASIL;1,062;78,85;05:00:00;01/jul/21;BARCAÇA;INTERIOR;CARGA;SEM PROPULSÃO;COLISÃO;-32,10555556;-52,10333333;0;0;4620174190;AÇO;
02_2021;ADRENALINA V;DLSEGU;DLSEGU;BRASIL;3,4;9,07;12:30:00;06/jul/21;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-16,44472222;-39,08416667;0;0;4030238335;FIBRA;
9_2021;BLUE;CPFPOL;CPFPOL;BRASIL;0;3,45;07:05:00;05/jul/21;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-27,58888889;-48,43833333;0;0;441M2021001611;FIBRA;
11_2021;ALFM -  SEM NOME;CPLUIZ;CPLUIZ;BRASIL;3;8,6;16:10:00;03/jul/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-2,73555556;-42,81583333;3;0;1210148366;MADEIRA;NÃO POSSUI
5_2021;SARTCO XI;CPUMBA;CPUMBA;BRASIL;134;17,35;07:30:00;08/jul/21;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;INCÊNDIO;-19,00055556;-57,59888889;0;0;4020167010;AÇO;
13_2021;RAFA;CPFTZA;CPFTZA;BRASIL;0;3,36;12:00:00;04/jul/21;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-6,30638889;-39,44194444;0;0;161M2012002633;FIBRA;
12_2021;ENGENHEIRO SANTANA;CPFTZA;AGCATI;BRASIL;12;10,96;15:30:00;02/jul/21;BARCO;CABOTAGEM;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-3,72027778;-38,48138889;0;0;162001797;MADEIRA;NÃO POSSUI
09_2021;LMZ CERES;DLRUCA;DLRUCA;CHIPRE;41,074;225;05:40:00;08/jul/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;INCÊNDIO;-22,93694444;-43,83416667;0;0;SOLAS-IMO 9492490;AÇO;
17_2021;SIMPLESMENTE VANESSA;DLANGR;DLANGR;BRASIL;13,4;9;09:00:00;10/jul/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-23,08416667;-44,23666667;0;0;4039154053;FIBRA;
10_2021;DEEP TRIP I;DLCABO;DLCABO;BRASIL;9,1;11,8;05:00:00;09/jul/21;BARCO;INTERIOR;PASSAGEIRO;MOTOR;NAUFRÁGIO;-22,97083333;-42,01805556;0;0;3840159601;MADEIRA;NÃO POSSUI
27_2021;CAP BRAVO 8 - PETRONORTE 3;CPNAUS;AGITAC;BRASIL;52;17,55;01:20:00;09/jul/21;EMPURRADOR COM BALSA  (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;-3,15361111;-58,51194444;0;0;11468238;AÇO;
35_2021;Dona Lucy;CPBLEM;CPBLEM;BRASIL;NÃO INSCRITA;A SER APURADO;03:00:00;08/jul/21;BARCO;INTERIOR;SEM ATIVIDADE DEFENIDA;MOTOR;NAUFRÁGIO;-1,45305556;-48,50388889;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
06_2021;ANTHEA Y;CPAGUA;CPAGUA;LIBÉRIA;94,416;299;10:00:00;09/jul/21;NM  PORTA CONTENTOR;LONGO - CURSO;CARGA;MOTOR;AVARIA NA CARGA;-29,9525;-48,50222222;0;0;SOLAS-IMO 9710244;AÇO;
07_2021;KONKITE;CFATOC;CFATOC;BRASIL;3,8;7,31;14:15:00;10/jul/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;0;0;4830321903;FIBRA;
15_2021;Amanda Biliu - SEM NOME;CFPVEL;CFPVEL;BRASIL;0;336;12:30:00;11/jul/21;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-8,83944444;-63,67305556;4;0;003M2017000877;FIBRA;
30_2021;O PROFETA I;CPMCAE;AGSJBA;BRASIL;29;17,34;01:00:00;12/jul/21;TRAINEIRA;CABOTAGEM;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-21,48222222;-40,46694444;0;0;3877049982;MADEIRA;NÃO POSSUI
29_2021;GOLDEN GRAINS;CPVITO;CPVITO;BRASIL;23,651;181;09:00:00;09/jun/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;SEM CÓDIGO DE NATUREZA DO ACIDENTE;-20,29027778;-40,24388889;0;0;SOLAS-IMO 9777723;AÇO;
11_2021;PELICANO II;CFCUIA;CFCUIA;BRASIL;10;17,5;15:00:00;22/jun/21;FLUTUANTE;INTERIOR;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;INCÊNDIO;-9,63888889;-56,015;0;0;4830319259;AÇO;
06_2021;MAS;CPFTPR;CPFTPR;BRASIL;0;18,1;03:00:00;10/jul/21;OUTRAS EMBARCAÇÕES;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-22,49888889;-48,56444444;0;0;4050240599;AÇO;
08_2021;VOLZEE;CPAGUA;CPAGUA;BRASIL;763;58,32;02:07:00;11/jul/21;DRAGA;INTERIOR;CARGA;MOTOR;COLISÃO;-25,5775;-48,32805556;0;0;4010824786;AÇO;
07_2021;SAN BELO;CPAGUA;CPAGUA;BRASIL;86;22,26;12:00:00;13/jul/21;REBOCADOR;CABOTAGEM;REBOCADOR/EMPURRADOR;MOTOR;AVARIA DE MÁQUINAS;-25,86305556;-48,57111111;0;0;NÃO INSCRITA;AÇO;
12_2021;NEO;CPCIFE;CPCIFE;BRASIL;321;35;17:20:00;09/mai/21;BARCO;CABOTAGEM;CARGA;MOTOR;DERIVA  DA EMBARCAÇÃO;-7,05;-34,6;0;0;1810054729;AÇO;
17_2021;SEM NOME;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;A SER APURADO;13:00:00;06/jul/21;BOTE;INTERIOR;SEM ATIVIDADE DEFENIDA;SEM PROPULSÃO;QUEDA DE PESSOAS NA ÁGUA;-1,79194444;-55,91222222;0;1;NÃO INSCRITA;ALUMÍNIO;
12_2021;PIPES 135;CPLUIZ;AGIMPE;BRASIL;100;32;15:30:00;12/jul/21;BALSA;INTERIOR;PASSAGEIRO E CARGA;SEM PROPULSÃO;QUEDA DE VEÍCULO NA ÁGUA;-7,06861111;-44,82611111;0;0;2610078579;AÇO;
16_2021;JUAN FILHO - SEM NOME;CFPVEL;AGHMTA;BRASIL;NÃO INSCRITA;6;03:00:00;15/jul/21;EMPURRADOR;INTERIOR;SEM ATIVIDADE DEFENIDA;MOTOR;EXPLOSÃO;-5,83722222;-61,38333333;3;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
9_2021;RIO PRETO - SANTA BARBARA XVI;CPNATL;AGBRAN;BRASIL;47;15,6;A SER APURADO;A SER APURADO;BARCO;CABOTAGEM;PESCA;MOTOR;ABALROAMENTO;-4,93166667;-37,1575;0;0;182.005197-8;MADEIRA;NÃO POSSUI
002_2021;PONTÃO ATALAIA - BRASIL E MIUDO - ITAMARATI 2022;CFINGA;CFINGA;BRASIL;544;66;21:00:00;16/jul/21;EMPURRADOR COM BALSA  (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-4,3625;-70,19111111;0;0;021.101.132-1;AÇO;
06_2021;Gaivota  I -  Rafael I -  Nossa Senhora dos Navegantes-E;CPUMBA;CPUMBA;BRASIL;0;6;00:30:00;09/jul/21;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-18,52666667;-57,42638889;0;0;481M2018002006;ALUMÍNIO;NÃO POSSUI
13_2021;SEM NOME;CPLUIZ;CPLUIZ;BRASIL;A SER APURADO;A SER APURADO;05:45:00;29/mai/21;BALSA;INTERIOR;PASSAGEIRO E CARGA;MOTOR;QUEDA DE VEÍCULO NA ÁGUA;;;0;0;A SER APURADO;AÇO;
08_2021;AMAZONAS;CFATOC;CFATOC;BRASIL;0;5,98;15:15:00;17/jul/21;CHATA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-10,26055556;-48,39305556;0;0;524M2002001588;ALUMÍNIO;
08_2021;SEM NOME;CPNATL;CPNATL;BRASIL;NÃO INSCRITA;6,1;09:00:00;16/jul/21;JANGADA;INTERIOR;PESCA;MOTOR;ACIDENTE DE MERGULHO;-5,16361111;-34,98416667;1;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
12_2021;SEM NOME;CFCUIA;CFCUIA;BRASIL;NÃO INSCRITA;5,5;23:00:00;18/jul/21;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;-15,03388889;-55,75805556;0;0;NÃO INSCRITA;ALUMÍNIO;
14_2021;HANAKI  MARU I;CPFTZA;AGOCIM;BRASIL;48;16,82;01:00:00;14/jul/21;BARCO;CABOTAGEM;PESCA;MOTOR;AVARIA DE MÁQUINAS;-3,51916667;-38,8025;0;0;1630046914;MADEIRA;NÃO POSSUI
09_2021;ANJO MIGUEL;CPFOZU;CPFOZU;BRASIL;A SER APURADO;A SER APURADO;13:00:00;18/jul/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ADERNAMENTO;;;0;2;A SER APURADO;ALUMÍNIO;
30_2021;SILMAR VII;CPVITO;CPVITO;BRASIL;0;5;09:00:00;18/jul/21;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA  DA EMBARCAÇÃO;-18,94194444;-39,65888889;0;0;341M2001012203;FIBRA;
08_2021;TALISMA III;CPCEIO;CPCEIO;BRASIL;3;8;09:00:00;17/ago/21;BARCO;CABOTAGEM;PESCA;MOTOR;NAUFRÁGIO;;;0;0;2420128401;MADEIRA;NÃO POSSUI
33_2021;João Gabriel -  LUNNA I - LUNNA II;CPSTNA;CPSTNA;BRASIL;99;18;09:00:00;21/jul/21;EMPURRADOR COM BALSA  (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;0,00527778;-51,20333333;2;0;022-004924-6;AÇO;
18_2021;NOVO HORIZONTE III;CFAREM;CFAREM;BRASIL;179;40;18:00:00;17/jul/21;FERRY BOAT;INTERIOR;PASSAGEIRO E CARGA;MOTOR;ÁGUA ABERTA;-2,41555556;-54,71444444;0;0;10140115;AÇO;
31_2021;PETROBRAS 63;CPMCAE;CPMCAE;ILHAS MARSHALL;161,812;347,3;06:00:00;10/jul/21;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;ALAGAMENTO;-23,50222222;-41,05222222;0;0;461E000954;AÇO;
36_2021;Edemilson Salgado-P13;CPBLEM;CPBLEM;BRASIL;10;16;15:40:00;13/jul/21;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;ENCALHE;-1,32944444;-48,495;0;0;210320656;FIBRA;
_2021;PARCEL DAS TIMBEBAS;CPMCAE;CPMCAE;BRASIL;2,865;73,8;06:40:00;25/jul/21;SUPPLY;APOIO-MARITIMO;CARGA;MOTOR;INCÊNDIO;-22,57388889;-40,52694444;0;0;3810514951;AÇO;
09_2021;GUAIBA;CFALEG;CFALEG;BRASIL;2,015;89;10:30:00;05/jul/21;NM PETROLEIRO;INTERIOR;CARGA;MOTOR;EXPOR A RISCO;-30,03833333;-51,26944444;0;0;4620197556;AÇO;
15_2021;SEM NOME;CPLUIZ;CPLUIZ;BRASIL;A SER APURADO;A SER APURADO;22:21:00;26/jul/21;A SER APURADO;A SER APURADO;PESCA;MOTOR;DESAPARECIMENTO DE EMBARCAÇÃO;;;0;0;A SER APURADO;A SER APURADO;A SER APURADO
14_2021;PIPIT ARROW;CPLUIZ;CPLUIZ;PANAMÁ;A SER APURADO;199,98;01:10:00;18/jul/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;RUPTURA DE CABOS;-2,58361111;-44,36833333;0;0;SOLAS-IMO 9552898;AÇO;
16_2021;GRUPO W  R;CPLUIZ;CPLUIZ;BRASIL;2,5;7,1;09:45:00;26/jul/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;;;0;0;1210141710;FIBRA;
19_2021;BRUNA I;CFAREM;CFAREM;BRASIL;8,17;13,5;14:45:00;20/jul/21;BARCO;INTERIOR;PASSAGEIRO E CARGA;MOTOR;NAUFRÁGIO;-2,39138889;-54,75861111;0;0;230083587;MADEIRA;NÃO POSSUI
21_2020;SEM NOME;CPRIOJ;CPRIOJ;BRASIL;NÃO INSCRITA;43;14:30:00;26/jul/21;FLUTUANTE;A SER APURADO;SEM ATIVIDADE DEFENIDA;SEM PROPULSÃO;NAUFRÁGIO;-22,86527778;-43,13138889;0;0;NÃO INSCRITA;AÇO;
28_2021;PEDRO ALVARES  CABRA;CPNAUS;CPNAUS;BRASIL;42,564;288;A SER APURADO;A SER APURADO;NM  PORTA CONTENTOR;LONGO - CURSO;CARGA;MOTOR;COLISÃO;-3,26722222;-60,65333333;0;0;SOLAS-IMO 0011436590;AÇO;
09_2021;Hugo;CPCEIO;CPCEIO;BRASIL;0;4,98;06:40:00;24/mai/21;JANGADA;INTERIOR;PASSAGEIRO;MOTOR;QUEDA DE PESSOA ABORDO;;;1;0;241M2001019044;FIBRA;
41-A_2021;CASTILHO DE HERRERA;CPSANT;CPSANT;BRASIL;8,698;139,95;08:07:00;23/jun/21;NM  DE CARGA GERAL;LONGO - CURSO;CARGA;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;-24,08333333;-46,33333333;1;0;SOLAS-IMO 381E005356;AÇO;
42-A_2021;SEM NOME;CPSANT;CPSANT;BRASIL;NÃO INSCRITA;A SER APURADO;09:15:00;28/jun/21;VELEIRO;INTERIOR;ESPORTE E RECREIO;VELA;QUEDA DE PESSOAS NA ÁGUA;-23,68555556;-46,72166667;0;0;NÃO INSCRITA;FIBRA;
43-A_2021;PANICO DA ILHA - SEM NOME;CPSANT;CPSANT;BRASIL;0;9,25;14:23:00;26/jun/21;BOTE;INTERIOR;PESCA;MOTOR;ABALROAMENTO;-25,21888889;-48,04027778;1;0;4215524628;FIBRA;
10_2021;MATHEUS F;CPNATL;CPNATL;BRASIL;11;11,2;03:00:00;03/jul/21;BARCO;CABOTAGEM;PESCA;MOTOR;DESAPARECIMENTO DE EMBARCAÇÃO;;;0;6;1818894793;MADEIRA;POSSUI
11_2021;SCORPIUS;CPNATL;CPNATL;BRASIL;184,5;24,35;22:30:00;28/jul/21;REBOCADOR;CABOTAGEM;REBOCADOR/EMPURRADOR;MOTOR;AVARIA DE MÁQUINAS;-5,61666667;-35,2;0;0;3810248398;AÇO;
08_2021;OVERSEAS - TRIMAR III;DLTIAO;DLTIAO;BRASIL;93;23,7;03:50:00;29/jul/21;BARCO;CABOTAGEM;PESCA;MOTOR;ABALROAMENTO;-23,80444444;-45,38333333;0;0;4010588314;AÇO;
17_2021;UNITED GRACE -  GUILIN;CPLUIZ;CPLUIZ;LIBÉRIA;A SER APURADO;291,95;09:00:00;28/jul/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;ABALROAMENTO;;;0;0;SOLAS-IMO 9870147;AÇO;
18_2021;SEM NOME;DLANGR;DLANGR;BRASIL;NÃO INSCRITA;4,6;04:30:00;29/jul/21;BOTE;INTERIOR;A SER APURADO;MOTOR;NAUFRÁGIO;-22,98333333;-44,33333333;0;0;NÃO INSCRITA;FIBRA;
34_2021;ORTE DE SÃO JOSÉ;CPSTNA;CPSTNA;BRASIL;A SER APURADO;225;09:00:00;10/ago/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;MORTE DE PESSOA;-1,535;-52,28416667;0;0;SOLAS-IMO 9512032;AÇO;
21_2021;NAIM BUSINESS;DLANGR;DLANGR;BRASIL;0;11,4;A SER APURADO;A SER APURADO;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-22,96666667;-44,35;0;0;3826676467;FIBRA;
22_2021;INDEPENDENT;DLANGR;DLANGR;BRASIL;0,1;21,95;15:10:00;11/ago/21;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-22,98694444;-44,36138889;0;0;3813879321;FIBRA;
35_2021;GEO-II-G;CPMCAE;CPMCAE;BRASIL;27;12;11:50:00;14/ago/21;BALSA;CABOTAGEM;CARGA;MOTOR;DEFICIÊNCIA NA AMARRAÇÃO OU FUNDEIO;-22,36083333;-41,70222222;0;0;3813904024;AÇO;
38_2021;SEM NOME;CPBLEM;CPBLEM;BRASIL;NÃO INSCRITA;A SER APURADO;02:00:00;14/jul/21;BARCO;INTERIOR;SEM ATIVIDADE DEFENIDA;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;-1,69111111;-50,485;1;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
008_2021;R-L 2 Irmãos - Noé I;CPUMBA;CPUMBA;BRASIL;0,63;5,83;03:30:00;11/ago/21;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-19,04944444;-57,33416667;0;1;4810189261;ALUMÍNIO;
36_2021;SEABISCUIT;CPSTNA;CPSTNA;PANAMÁ;45,223;229;16:00:00;16/ago/21;NM  DE CARGA GERAL;LONGO - CURSO;CARGA;MOTOR;MORTE DE PESSOA;-1,13583333;-50,98777778;0;0;SOLAS-IMO 9619787;AÇO;
21_2021;RONDONIA - BOX RAKED - BOX 1;CFAREM;CFAREM;BRASIL;2,801;54,1;08:30:00;23/jul/21;FERRY BOAT;INTERIOR;PASSAGEIRO E CARGA;MOTOR;ABALROAMENTO;-2,42333333;-54,69638889;0;0;210186178;AÇO;
003_2021;D.JOÃO II;CFINGA;CFINGA;BRASIL;19;16,6;03:00:00;16/ago/21;REBOCADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-4,59111111;-70,67583333;0;0;90016092;MADEIRA;NÃO POSSUI
36_2021;PETROBRAS 40;CPMCAE;CPMCAE;PANAMÁ;44,454;A SER APURADO;16:37:00;15/ago/21;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;INCÊNDIO;-22,54666667;-40,06944444;0;0;381E003817;AÇO;
23_2021;THOUSAND SPRING;CFAREM;CFAREM;PANAMÁ;43,509;229;19:01:00;01/ago/21;NM  DE CARGA GERAL;LONGO - CURSO;CARGA;MOTOR;ENCALHE;-1,9525;-53,89944444;0;0;SOLAS-IMO 9867425;AÇO;
22_2021;COMTE SANTOS - VITÓRIA DO CARREIRO - SEM NOME;CFAREM;CFAREM;BRASIL;A SER APURADO;A SER APURADO;02:30:00;30/jul/21;EMPURRADOR COM BALSA  (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;-2,14166667;-55,16472222;0;1;A SER APURADO;AÇO;
07_2021;JACK TEQUILA;CPFTPR;CPFTPR;BRASIL;0;3,22;12:40:00;15/ago/21;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-21,54222222;-49,66083333;0;0;405M2008003722;FIBRA;
37_2021;SEM NOME;CPBLEM;CPBLEM;BRASIL;NÃO INSCRITA;10;13:30:00;02/ago/21;BOTE;INTERIOR;SEM ATIVIDADE DEFENIDA;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;-2,55166667;-48,25833333;1;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
49-A_2021;TOMATOMA;CPSANT;CPSANT;BRASIL;2..6;6,39;13:00:00;30/jul/21;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-23,89388889;-46,29888889;0;0;3410241451;FIBRA;
20_2021;LRS;DLANGR;DLANGR;BRASIL;32;17,08;05:00:00;08/ago/21;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-22,95666667;-44,31722222;0;0;3826690931;FIBRA;
17/2021;Comte Tandas  I - Jutai IV;CFPVEL;CFPVEL;BRASIL;20;14,3;05:00:00;09/ago/21;EMPURRADOR COM BALSA  (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;EMBORCAMENTO;-7,99388889;-62,87111111;0;0;11432900;MADEIRA;NÃO POSSUI
33_2021;FPSO CIDADE DE NITERÓI MV 18;CPMCAE;CPMCAE;BAHAMAS;143,166;315;01:00:00;12/ago/21;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;INCÊNDIO;-23,57;-39,93611111;0;0;381E005666;AÇO;
10_2021;PARANOA;DCPJAI;DCPJAI;BRASIL;0,5;4,65;A SER APURADO;A SER APURADO;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-26,76666667;-48,6;0;1;4420161639;ALUMÍNIO;
34_2021;SINISTRÃO;CPMCAE;AGSJBA;BRASIL;0;3,22;14:00:00;06/ago/21;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-21,72055556;-41,3875;1;0;384M2013000592;FIBRA;
5_2021;SEM NOME;DLPREP;DLPREP;BRASIL;NÃO INSCRITA;A SER APURADO;18:39:00;08/ago/21;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;0;0;NÃO INSCRITA;ALUMÍNIO;
35_2021;SEM NOME;CPSTNA;CPSTNA;BRASIL;A SER APURADO;A SER APURADO;09:00:00;07/ago/21;A SER APURADO;INTERIOR;A SER APURADO;MOTOR;NAUFRÁGIO;;;0;0;A SER APURADO;A SER APURADO;NÃO POSSUI
29_2021;LEÃO DE JUDÁ V/;CPNAUS;CPNAUS;BRASIL;1,126;54,4;17:43:00;06/abr/21;BARCO;INTERIOR;PASSAGEIRO E CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-3,13833333;-60,02777778;0;1;A SER APURADO;A SER APURADO;A SER APURADO
05_2021;SEM NOME;CFJUAZ;CFJUAZ;BRASIL;NÃO INSCRITA;A SER APURADO;20:00:00;25/jul/21;CANOA;INTERIOR;SEM ATIVIDADE DEFENIDA;SEM PROPULSÃO;NAUFRÁGIO;-9,36138889;-40,86777778;0;1;NÃO INSCRITA;A SER APURADO;A SER APURADO
47-A_2021;SIDER MONTEDIPROCIDA;CPSANT;CPSANT;HONG KONG;233,309;179,97;05:10:00;18/jul/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;PRESENÇA DE CLANDESTINO A BORDO;-12,36777778;-13,21861111;0;0;SOLAS-IMO 9868443;AÇO;
48-A_2021;SÃO FRANCISCO - SEA LINE;CPSANT;CPSANT;BRASIL;11,6;10,6;23:00:00;26/jul/21;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-23,99861111;-46,29527778;0;0;4010721707;FIBRA;
46-A_2021;NOSSO BARCO;CPSANT;CPSANT;BRASIL;4,6;9;18:30:00;18/mai/21;BOTE;INTERIOR;PESCA;MOTOR;COLISÃO;-24,35972222;-46,98277778;0;0;4010804751;MADEIRA;NÃO POSSUI
45-A_2021;ALBATROSS;CPSANT;CPSANT;PANAMÁ;15,861;157,23;12:20:00;06/jul/21;NM  DE CARGA GERAL;LONGO - CURSO;CARGA;MOTOR;ACIDENTE COM ESTIVADOR;-23,96444444;-46,30111111;1;0;SOLAS-IMO 9427574;AÇO;
11_2021;JA VENCI;DLCABO;DLCABO;BRASIL;41;16,22;05:30:00;30/jul/21;TRAINEIRA;CABOTAGEM;PESCA;MOTOR;MORTE DE PESSOA;-22,91611111;-40,95833333;0;0;3840081513;MADEIRA;NÃO POSSUI
44-A_2021;FORMIGONE - ONE DREAM;CPSANT;CPSANT;BRASIL;0;3,31;13:40:00;27/jun/21;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-23,63388889;-47,36194444;0;0;401M2016006778;FIBRA;
07_2021;LUMINAR;DLPIRA;DLPIRA;BRASIL;44;21;A SER APURADO;A SER APURADO;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;NAUFRÁGIO;;;0;0;9410015219;AÇO;
16_2021;LA IZ;CPGRAN;CPGRAN;BRASIL;31;13,44;00:50:00;31/jul/21;BARCO;CABOTAGEM;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-32,57444444;-52,26888889;0;1;4630034056;MADEIRA;NÃO POSSUI
007_2021;ESTRELA DALVA-II;CPUMBA;CPUMBA;BRASIL;93;23,1;11:50:00;01/ago/21;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;QUEDA DE PESSOAS NA ÁGUA;-18,99638889;-57,6575;0;0;4810177637;AÇO;
13_2021;PEQUENO GIGANTE;CPFPOL;CPFPOL;BRASIL;5,5;8,85;11:31:00;16/ago/21;TRAINEIRA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;0;0;4410159224;MADEIRA;NÃO POSSUI
18_2021;BARRAQUEIRO;CPLUIZ;CPLUIZ;BRASIL;31;19,72;10:30:00;17/ago/21;LANCHA;INTERIOR;PASSAGEIRO E CARGA;MOTOR;AVARIA DE MÁQUINAS;;;0;0;1210119072;MADEIRA;NÃO POSSUI
24_2021;LDC 022;CFAREM;CFAREM;BRASIL;1,803;61;22:30:00;05/ago/21;BARCAÇA;INTERIOR;CARGA;SEM PROPULSÃO;ATO DE PIRATARIA/ASSALTO/FURTO/ROUBO;-2,41777778;-54,75194444;0;0;211023094;AÇO;
37_2021;PETROBRAS XIX;CPMCAE;CPMCAE;PANAMÁ;22,589;102;16:00:00;16/ago/21;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;AVARIA DE MÁQUINAS;-22,39194444;-40,05277778;0;0;387E000496;AÇO;
38_2021;CHERNE 2;CPMCAE;CPMCAE;BRASIL;NÃO INSCRITA;A SER APURADO;08:05:00;12/ago/21;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;AVARIA DE MÁQUINAS;-22,46555556;-40,46833333;0;0;NÃO INSCRITA;AÇO;
39_2021;RYA RED;CPBLEM;CPBLEM;PANAMÁ;38,364;225;07:45:00;16/ago/21;NM GRANELEIRO;LONGO - CURSO;CARGA;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;-1,06138889;-48,47722222;1;0;SOLAS-IMO 9080803;AÇO;
