Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);DATA;HORA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
10-A_2020;STAR LEON;8;CPSANT;CPSANT;NORUEGA;37477;204,40;16/FEV/2020;9:20;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM ESTIVADOR;-23,97638889;-46,28583333;0;1;0;SOLAS-IMO 9603790;AÇO;
2_2020;CAIO RIAN;4;CPPARN;CPPARN;BRASIL;6;9,6;26/JAN/2020;9:40;BARCO;CABOTAGEM;PESCA;MOTOR;AVARIA DE MÁQUINAS;-2,851111111;-41,63527778;0;0;0;210995076;MADEIRA;NÃO POSSUI
01_2020;DONA DEBORAH;9;CFINGA;CFINGA;BRASIL;1504;72;15/JAN/2020;5:40;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;ABALROAMENTO;-4,231944444;-69,94472222;0;0;0;001-145688-4;AÇO;
02_2020;OCEANS;8;CPAGUA;CPAGUA;BRASIL;7;5;15/JAN/2020;18:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;-25,88277778;-48,57472222;0;0;0;66M2001000758;FIBRA;
2_2020;NORSUL VITÓRIA;5;DLSFSL;DLSFSL;BRASIL;730;31,56;17/JAN/2020;0:00;EMPURRADOR;CABOTAGEM;REBOCADOR/EMPURRADOR;MOTOR;INCÊNDIO;;;0;2;0;4420206136;AÇO;
01_2020;BEAGLE;5;CPFPOL;CPFPOL;BRASIL;1;7,15;19/JAN/2020;9:29;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;-27,59361111;;0;0;0;4410167928;FIBRA;
01_2020;Souza;8;CPFTPR;CPFTPR;BRASIL;MIUDA;5,95;18/JAN/2020;9:00;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-21,64277778;-49,26888889;0;0;0;405M2019010117;ALUMÍNIO;
07_2020;OBIDENSE III;9;CPNAUS;CPNAUS;BRASIL;892;45,30;19/JAN/2020;20:19;FERRY BOAT;INTERIOR;PASSAGEIRO E CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-2,455555556;-57,55027778;0;0;1;230919405;AÇO;
02_2020;Torpedo 2;6;CPUMBA;CPUMBA;BRASIL;0;3,37;23/FEV/2020;15:30;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-22,70388889;-53,28027778;1;0;0;441M2011005683;FIBRA;
02_2020;DEUS TEM PODER II;9;CPNAUS;CPNAUS;BRASIL;10;19,9;07/JAN/2020;12:30;OUTRAS EMBARCAÇÕES;INTERIOR;PASSAGEIRO E CARGA;MOTOR;NAUFRÁGIO;-7,720277778;-72,64527778;0;0;0;130004979;MADEIRA;NÃO POSSUI
09_2020;SÃO SOLDADO;9;CPNAUS;AGTEFE;BRASIL;9,70;14,60;24/JAN/2020;1:30;REBOCADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;-3,221944444;-64,78916667;0;0;0;90001141;MADEIRA;NÃO POSSUI
13_2020;JATOBA;9;CPNAUS;AGITAC;BRASIL;139;19,80;21/FEV/2020;22:40;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;INCÊNDIO;-2,763611111;-57,76027778;0;0;0;210986921;AÇO;
12_2020;Vale Quem Tem 2015;9;CPNAUS;AGTEFE;BRASIL;256;29,05;13/FEV/2020;16:30;BARCO;INTERIOR;PASSAGEIRO E CARGA;MOTOR;EXPOR A RISCO;-3,341666667;-64,70555556;0;0;0;009002328-5;AÇO;
10_2020;RIO GUARANI;9;CPNAUS;AGITAC;BRASIL;58;14;14/FEV/2020;9:30;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;NAUFRÁGIO;-2,884444444;-58,09000000;0;0;0;210253355;AÇO;
14_2020;SEM NOME;9;CPNAUS;AGTEFE;BRASIL;A SER APURADO;10;23/FEV/2020;22:00;CANOA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-3,475555556;-64,89027778;1;0;0;A SER APURADO;MADEIRA;NÃO POSSUI
11_2020;POSSANTE XX;9;CPNAUS;AGITAC;BRASIL;72;17;15/FEV/2020;10:30;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;INCÊNDIO;-3,041388889;-58,18000000;0;0;0;009001769-2;AÇO;
14_2020;ANA AMARAL I;5;DCPJAI;DCPJAI;BRASIL;111;23,17;30/JAN/2020;17:30;BARCO;CABOTAGEM;PESCA;MOTOR;AVARIA DE MÁQUINAS;-26,90527778;-48,65333333;0;0;0;4430111561;MADEIRA;NÃO POSSUI
16_2020;PEDRO ARTUR;5;DCPJAI;DCPJAI;BRASIL;10;10,97;04/FEV/2020;12:00;BOTE;INTERIOR;PESCA;MOTOR;AVARIA DE MÁQUINAS;-26,90722222;-48,64944444;0;0;0;4420001101;MADEIRA;
13_2020;REI DA GLORIA;5;DCPJAI;DCPJAI;BRASIL;15;13,70;30/JAN/2020;10:00;BOTE;CABOTAGEM;PESCA;MOTOR;EXPOR A RISCO;-26,91;-48,64833333;0;0;0;4430078882;MADEIRA;NÃO POSSUI
12_2020;ZEUS;5;DCPJAI;DCPJAI;BRASIL;A SER APURADO;5;25/JAN/2020;16:00;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;-26,97222222;-48,63194444;0;0;0;443M2001002100;;
18_2020;SAMBA II;5;DCPJAI;DCPJAI;BRASIL;4,6;3,;15/FEV/2020;0:40;LANCHA;CABOTAGEM;PASSAGEIRO;MOTOR;DEFICIÊNCIA DE ABASTECIMENTO;-26,93666667;-48,62777778;0;0;0;4039135547;FIBRA;
8_2020;CARISMA - DONA INARA;1;DLCABO;DLCABO;BRASIL;9;8;21/JAN/2020;8:00;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;ABALROAMENTO;-22,97111111;-42,01666667;0;1;0;3840086124;MADEIRA;NÃO POSSUI
9_2020;SEA LION BOAT;1;DLCABO;DLCABO;BRASIL;42;15,80;24/FEV/2020;13:00;BARCO;INTERIOR;PASSAGEIRO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-22,97611111;-42,00833333;0;1;0;3840173507;MADEIRA;NÃO POSSUI
05_2020;LOBO GUARA;5;CPFPOL;CPFPOL;BRASIL;1;5,50;23/FEV/2020;20:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;0;0;0;4620220477;FIBRA;
06_2020;FILHO DA ILHA;5;CPFPOL;CPFPOL;BRASIL;0;16,20;26/FEV/2020;0:00;VELEIRO;CABOTAGEM;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-27,37888889;-48,53500000;0;0;0;4610093740;FIBRA;
11_2020;VITTA NÁUTICA III;2;CPSALV;CPSALV;BRASIL;3,2;8,03;02/FEV/2020;8:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-13,11388889;-38,70194444;0;0;0;2818903114;FIBRA;
10_2020;BEM ME QUER I;2;CPSALV;CPSALV;BRASIL;28,4;15,55;31/JAN/2020;16:30;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-12,88027778;-38,66388889;0;0;0;2810280444;A SER APURADO;
11_2020;MARCRIADA II;2;CPSALV;CPSALV;BRASIL;5;9,54;11/FEV/2020;6:05;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-12,91833333;-38,52333333;0;0;0;2818893101;FIBRA;
13_2020;GILIMAR I - LUZOM;2;CPSALV;CPSALV;BRASIL;2,63;6,95;22/FEV/2020;13:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-12,98194444;-38,52083333;0;0;0;3813884392;FIBRA;
15_2020;MAERSK LETICIA;5;DCPJAI;DCPJAI;HOLANDA;89174;299,9;31/JAN/2020;14:55;NM PORTA CONTENTOR;LONGO-CURSO;CARGA;MOTOR;ACIDENTE COM ESCADA DE PORTALÓ;-26,90111111;-48,56888889;0;0;0;SOLAS-IMO 9526916;AÇO;
4_2020;PEIXE LEÃO;3;CPNATL;CPNATL;BRASIL;0;4,9;05/FEV/2020;6:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ACIDENTE DE MERGULHO;-5,740277778;-35,08055556;1;0;0;181M2012000768;FIBRA;
5_2020;ANDERSON;3;CPNATL;AGBRAN;BRASIL;11,60;11;04/FEV/2020;16:00;BARCO;CABOTAGEM;PESCA;MOTOR;MORTE DE PESSOA;-4,931388889;-37,03388889;1;0;0;1630039209;MADEIRA;NÃO POSSUI
12_2020;GUINMAR II;1;CPRIOJ;CPRIOJ;BRASIL;203;23,35;31/JAN/2020;11:10;OUTRAS EMBARCAÇÕES;CABOTAGEM;CARGA;MOTOR;COLISÃO;-22,87305556;-43,12777778;0;0;0;3810248673;AÇO;
13_2020;VIVERE-X;1;CPRIOJ;CPRIOJ;BRASIL;0,10;17,2;06/FEV/2020;21:00;OUTRAS EMBARCAÇÕES;CABOTAGEM;ESPORTE E RECREIO;MOTOR;COLISÃO;-22,88166667;-43,16666667;0;0;0;3813903150;FIBRA;
01_2020;BALI HAI;3;CPCIFE;CPCIFE;BRASIL;18;11,5;10/FEV/2020;3:00;OUTRAS EMBARCAÇÕES;INTERIOR;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;NAUFRÁGIO;-8,7;-35,08333333;0;0;0;2210171814;FIBRA;
02_2020;MERGULHÃO X;3;CPCIFE;CPCIFE;BRASIL;32;13,5;22/FEV/2020;11:03;BARCO;INTERIOR;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;COLISÃO;-3,864166667;-3,86416667;0;1;0;2010081625;FIBRA;
01_2020;GURUPI;3;CPFTZA;CPFTZA;BRASIL;8075;134,4;14/FEV/2020;23:06;NM DE GASES LIQUEFEITOS;CABOTAGEM;CARGA;MOTOR;AVARIA DE MÁQUINAS;-3,7025;-38,46833333;0;0;0;SOLAS-IMO3810423378;AÇO;
02_2020;ABENÇOADO II;3;CPFTZA;CPFTZA;BRASIL;168;27,6;26/FEV/2020;4:00;BARCO;INTERIOR;PASSAGEIRO E CARGA;MOTOR;ALAGAMENTO;-3,5;-38,50000000;0;0;0;210286407;MADEIRA;NÃO POSSUI
08_2020;SIX I;1;DLANGR;DLANGR;BRASIL;38;16;29/FEV/2020;17:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;0;0;0;4010649712;FIBRA;
05_2020;LECAROL II;1;DLANGR;DLANGR;BRASIL;4,6;10,6;23/FEV/2020;13:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-23,65111111;-44,56333333;0;0;0;4010564059;FIBRA;
11_2020;ABRAÃO TOUR BIRD;1;DLANGR;DLANGR;BRASIL;0,01;7,6;06/MAR/2020;13:48;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-23,08194444;-44,23833333;1;0;0;3830635036;FIBRA;
02_2020;HERCULES;1;DLRUCA;DLRUCA;BRASIL;5,3;9,5;08/FEV/2020;10:35;TRAINEIRA;INTERIOR;PASSAGEIRO E CARGA;MOTOR;NAUFRÁGIO;-23,03888889;-44,03805556;0;1;0;3870051019;MADEIRA;NÃO POSSUI
03_2020;CHANDINHO I;1;DLRUCA;DLRUCA;BRASIL;7,6;10,85;11/FEV/2020;2:30;TRAINEIRA;INTERIOR;ESPORTE E RECREIO;MOTOR;ENCALHE;-22,92694444;-43,94888889;0;0;0;3830644159;MADEIRA;NÃO POSSUI
04_2020;ITAIPU;1;DLRUCA;DLRUCA;BRASIL;678;41,56;09/FEV/2020;16:00;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;AVARIA DE MÁQUINAS;-22,97888889;-44,06611111;0;0;0;3810091570;AÇO;
05_2020;CABRAL;1;DLRUCA;DLRUCA;BRASIL;1,3;5,7;24/FEV/2020;5:40;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-22,95166667;-44,02527778;0;0;0;3830639619;FIBRA;
07_2020;ABDIAS NASCIMENTO;1;DLANGR;DLANGR;BRASIL;81429;265,07;27/FEV/2020;1:40;NM PETROLEIRO;LONGO-CURSO;CARGA;MOTOR;RUPTURA DE CABOS;;;0;0;0;SOLAS-IMO 3813907619;AÇO;
06_2020;SEM NOME;1;DLRUCA;DLRUCA;BRASIL;NÃO INSCRITA;A SER APURADO;22/FEV/2020;16:00;CANOA;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;NAUFRÁGIO;-22,92444444;-43,81138889;0;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
02_2020;NM LOGIN JACARANDÁ - NM TIRUA;5;CPGRAN;CPGRAN;LIBÉRIA;28554;218,45;07/FEV/2020;23:40;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;RUPTURA DE CABOS;-32;-52,10555556;0;0;0;SOLAS-IMO 3813879887;AÇO;
21_2020;COTTA;5;DCPJAI;DCPJAI;BRASIL;A SER APURADO;5;22/JAN/2020;18:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-26,98666667;-48,62472222;0;0;0;421M2001025956;ALUMÍNIO;
20_2020;BOAT LUX BC JIII;5;DPCJAI;DPCJAI;BRASIL;A SER APURADO;3,31;22/FEV/2020;19:00;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-27,00916667;-48,56944444;0;0;0;443M2020000522;FIBRA;
19_2020;VO DAVID;5;DCPJAI;DCPJAI;BRASIL;392;38;20/FEV/2020;2:00;BARCO;CABOTAGEM;PESCA;MOTOR;INCÊNDIO;-26,88027778;-48,69250000;0;0;0;4430091552;AÇO;
22_2020;TUCANO;5;DCPJAI;DCPJAI;BRASIL;160;27,3;03/MAR/2020;2:00;BARCO;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-26,32694444;-48,43166667;0;0;0;210162643;AÇO;
23_2020;TITON;5;DPCJAI;DPCJAI;BRASIL;16;12,4;08/MAR/2020;21:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;COLISÃO;-27,205;-48,45277778;0;0;0;4430491992;FIBRA;
3_2020;AEOLIAN GRACE;5;DLSFSL;DLSFSL;CIPRIOTA;39735;224,94;04/MAR/2020;2:00;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ENCALHE;-26,42305556;-48,65222222;0;0;0;SOLAS-IMO 073138;AÇO;
4_2020;MAR DA ENSEADA II;5;CPGRAN;CPGRAN;BRASIL;87;19,88;22/FEV/2020;10:30;BARCO;CABOTAGEM;PESCA;MOTOR;MORTE DE PESSOA;-32,95;-51,91666667;1;0;0;4430123161;MADEIRA;
3_2020;TREVO LESTE;5;CPGRAN;CPGRAN;BRASIL;2078;108,14;20/FEV/2020;16:30;NM GRANELEIRO;INTERIOR;CARGA;MOTOR;MORTE DE PESSOA;-32,07777778;-52,09555556;1;0;0;4620170861;AÇO;
1_2020;BIG;8;DLPREP;DLPREP;BRASIL;A SER APURADO;3,31;25/FEV/2020;15:14;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-22,325;-50,97222222;0;1;0;341M2012005916;FIBRA;
3_2020;DUDU;8;CPFTPR;CPFTPR;BRASIL;MIUDA;5;08/FEV/2020;12:00;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-19,91833333;-50,67388889;1;0;0;405M2013015658;ALUMÍNIO;
5_2020;SOVEREIGN;8;CPFTPR;CPFTPR;BRASIL;MIUDA;5,6;25/FEV/2020;18:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-23,31583333;-48,95916667;0;0;0;34100390936;FIBRA;
6_2020;ANDORINHA;8;CPFTPR;CPFTPR;BRASIL;MIUDA;6;29/FEV/2020;20:00;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-21,22916667;-49,93777778;1;0;0;405M2011038861;ALUMÍNIO;
02_2020;SEM NOME;8;CPFTPR;CPFTPR;BRASIL;NÃO INSCRITA;5,95;04/JAN/2020;13:00;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-19,75777778;-50,10916667;1;0;0;NÃO INSCRITA;ALUMÍNIO;
04_2020;COBRA CORAL;8;CPFTPR;CPFTPR;BRASIL;MIUDA;5,85;17/FEV/2020;11:40;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-21,05111111;-50,36972222;2;1;0;401M2011036031;ALUMÍNIO;
02_2020;A.FELIPE III;9;CFINGA;CFINGA;BRASIL;19;17,65;09/FEV/2020;19:00;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;ÁGUA ABERTA;-4,383055556;-70,03111111;0;0;0;50077589;ALUMÍNIO;
04_2020;ALLIGATOR I;8;CPAGUA;CPAGUA;BRASIL;7,9;9,6;09/FEV/2020;21:30;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-25,73805556;-48,37305556;0;0;0;4211515781;FIBRA;
05_2020;AFS - TRES FRONTEIRAS;8;CPAGUA;CPAGUA;BRASIL;14;10,20;10/FEV/2020;11:00;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;-25,51555556;-48,53111111;0;0;0;9620185668;AÇO;
02_2020;TEBUKUA;6;CFCUIA;AGELIX;BRASIL;A SER APURADO;22;01/FEV/2020;7:00;BARCAÇA;INTERIOR;CARGA;MOTOR;NAUFRÁGIO;-11,34277778;-50,69944444;0;0;0;5250000231;MADEIRA;NÃO POSSUI
02_2020;OCEAN STAR R;8;DLTIAO;DLTIAO;BRASIL;0;4,5;13/FEV/2020;9:00;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;-23,38944444;-44,96944444;0;0;0;341M2019001767;MADEIRA;NÃO POSSUI
03_2020;AMARULA;8;DLTIAO;DLTIAO;BRASIL;2,2;6,0;08/FEV/2020;9:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-23,81666667;;1;2;0;4019924651;FIBRA;
10_2020;AMARAL;4;CPBLEM;CPBLEM;BRASIL;0;3,36;09/FEV/2020;14:00;MOTO-AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-6,644722222;-51,99500000;1;0;0;127M2015000348;FIBRA;
11_2020;ESPUMA DO MAR;4;CPBLEM;CPBLEM;BRASIL;10;14,6;27/FEV/2020;16:00;BARCO;INTERIOR;CARGA;MOTOR;COLISÃO;-1,381944444;-48,53000000;0;0;0;210261579;MADEIRA;NÃO POSSUI
12_2020;COMTE DO MAR;4;CPBLEM;CPBLEM;BRASIL;95;23,5;03/MAR/2020;16:00;BARCO;INTERIOR;PASSAGEIRO;MOTOR;COLISÃO;-1,004166667;-49,25000000;0;0;0;A SER APURADO;MADEIRA;NÃO POSSUI
13_2020;CAJARANA AIUB - PORTO SEGURO DA AMAZÔNIA III;4;CPBLEM;CPBLEM;BRASIL;55;15,9;28/FEV/2020;14:20;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;-1,273611111;-48,44472222;0;0;0;11452544;AÇO;
14_2020;JOSIMA IX;4;CPBLEM;CPBLEM;BRASIL;1010;76;09/MAR/2020;5:00;BALSA;INTERIOR;CARGA;MOTOR;COLISÃO;-1,282222222;-48,44694444;0;0;0;210284919;AÇO;
15_2020;BERTOLINI CXII -TBL-M 001 -  TBL-M 003 - BERTOLINI F-28;4;CPBLEM;CPBLEM;BRASIL;154;23,47;09/MAR/2020;13:00;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;-2,027222222;-47,75305556;0;0;0;211012971;AÇO;
08_2020;26 de Novembro VII;4;CFAREM;CFAREM;BRASIL;133;23,06;18/FEV/2020;2:00;BARCO;INTERIOR;PASSAGEIRO E CARGA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-2,118888889;-54,80055556;0;0;0;230107427;MADEIRA;NÃO POSSUI
07_2020;CAT VI - SEM NOME;4;CFAREM;CFAREM;BRASIL;79;22,43;14/FEV/2020;1:00;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;ABALROAMENTO;-2,423333333;-54,69750000;0;0;0;4620815209;FIBRA;
09_2020;CL TERESA;4;CFAREM;CFAREM;HONG KONG;63606;199,9;03/MAR/2020;13:30;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;-2,416111111;-54,78388889;0;0;0;SOLAS-IMO 9721073;AÇO;
06_2020;NORSUL CARAVELAS;1;CPVITO;CPVITO;BRASIL;810;31,6;20/FEV/2020;9:00;EMPURRADOR;APOIO MARITIMO;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;-19,85027778;-40,07138889;0;0;0;9278894;AÇO;
08_2020;TROFEU;1;CPVITO;CPVITO;BRASIL;8;9,13;04/MAR/2020;1:20;BARCO;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-21,00638889;-40,00805556;0;0;0;3420045271;MADEIRA;NÃO POSSUI
07_2020;ALEXANDRIA FOREVER;1;CPVITO;CPVITO;INGLESA;18,6;13,98;24/FEV/2020;10:20;VELEIRO;LONGO-CURSO;ESPORTE E RECREIO;MISTA;AVARIA DE MÁQUINAS;-20,06666667;-39,00000000;0;0;0;IT-CDP46N29L101;FIBRA;
5_2020;MV LAKE D;1;CPMCAE;AGSJBA;PANAMÁ;A SER APURADO;291,98;29/FEV/2020;10:30;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;;;0;1;0;SOLAS-IMO92752.00;AÇO;
6_2020;TISSOT RIO;1;CPMCAE;AGSJBA;BRASIL;13;10,68;01/MAR/2020;16:00;LANCHA DO PRÁTICO;INTERIOR;PASSAGEIRO;MOTOR;ENCALHE;-21,69361111;-41,02222222;0;0;0;3813882730;FIBRA;
06_2020;ZAFER;8;CPAGUA;CPAGUA;MALTA;23200;180;17/FEV/2020;15:15;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;SEM CÓDIGO DE NATUREZA DO ACIDENTE;-25,50222222;-48,51611111;0;0;0;SOLAS-IMO 9579315;AÇO;
12_2020;LS;4;CPLUIZ;CPLUIZ;BRASIL;1;8,5;20/FEV/2020;9:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EXPLOSÃO;;;0;6;0;1210146517;FIBRA;
13_2020;ISHIZUCHI STA - SEA POSEIDON;4;CPLUIZ;CPLUIZ;ILHAS MASHALL;23351;179,97;10/MAR/2020;9:00;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ABALROAMENTO;;;0;0;0;SOLAS-IMO 7569;AÇO;
2_2020;MARAVILHA I;8;CPFOZU;CPFOZU;BRASIL;0,60;5,60;18/JAN/2020;0:35;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-25,55694444;-54,59277778;0;0;0;9610109098;FIBRA;
;ROBERTA;8;CPFOZU;CPFOZU;BRASIL;0,45;7,89;09/FEV/2020;21:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-25,40666667;-54,58277778;0;0;0;4019908346;FIBRA;
4_2020;GUILHERME;8;CPFOZU;CPFOZU;BRASIL;MIUDA;5,05;20/FEV/2020;0:45;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;-25,32916667;-54,49555556;0;0;0;961M2019006099;FIBRA;
09_2020;Rei dos Reis I;9;CFPVEL;CFPVEL;BRASIL;113;26,20;23/FEV/2020;9:30;BARCO;INTERIOR;PASSAGEIRO;MOTOR;COLISÃO;-8,7375;-63,92250000;0;0;0;31158447;MADEIRA;NÃO POSSUI
12_2020;GERMANA 2;2;CPSALV;CPSALV;BRASIL;7,41;10,6;01/MAR/2020;15:30;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;-12,97472222;-38,51694444;0;0;0;3826677421;FIBRA;
14_2020;HAKUNA MATATA I;2;CPSALV;CPSALV;BRASIL;0;6,94;25/FEV/2020;13:00;VELEIRO;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-12,91944444;-38,50250000;0;0;0;2210082374;FIBRA;
15_2020;TEIMOSO X;2;CPSALV;CPSALV;BRASIL;9,7;9,6;08/MAR/2020;20:44;VELEIRO;CABOTAGEM;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-13,20805556;-38,79472222;0;0;0;4620189430;FIBRA;
02_2020;DUDA;7;CPFBRA;CPFBRA;BRASIL;5,96;10,2;01/MAR/20;6:15;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;-15,79805556;-47,78666667;0;0;0;5210243281;FIBRA;
11-A_2020;MSC SEAVIEW;8;CPSANT;CPSANT;MALTA;153516;323,36;06/FEV/2020;18:55;NM DE PASSAGEIRO;LONGO-CURSO;PASSAGEIRO;MOTOR;MORTE DE PESSOA;;;1;0;0;SOLAS-IMO 9745378;AÇO;
12-A_2020;SANT JORDI;8;CPSANT;CPSANT;BRASIL;4,08;8002;25/FEV/2020;7:20;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;EXPLOSÃO;-23,99083333;-46,20305556;0;6;0;4019978417;FIBRA;
14-A_2020;SEAMAX ROWAYTON;8;CPSANT;CPSANT;ILHAS MASHALL;93702;299,98;27/FEV/2020;8:00;NM PORTA CONTENTOR;LONGO-CURSO;CARGA;MOTOR;INCÊNDIO;-28,36722222;-40,32583333;0;0;0;SOLAS-IMO 9732589;AÇO;
13-A_2020;FERNANDA;8;CPSANT;CPSANT;BRASIL;NÃO INSCRITA;A SER APURADO;25/FEV/2020;13:30;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-23,98722222;-46,29027778;0;0;0;NÃO INSCRITA;FIBRA;
15-A_2020;MARATAYAMA;8;CPSANT;CPSANT;BRASIL;57;18,30;28/FEV/2020;11:55;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-25,02388889;-48,03083333;0;0;0;4019959901;FIBRA;
15_2020;SEXY GIRL;1;CPRIOJ;CPRIOJ;BRASIL;11,20;11,58;07/MAR/2020;17:50;LANCHA;LONGO-CURSO;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-22,92833333;-43,12388889;0;0;0;3810518514;FIBRA;
16_2020;PETROBRAS 77 - BATUÍRA;1;CPRIOJ;CPRIOJ;BRASIL;4106;87,4;12/MAR/2020;16:50;SUPPLY;APOIO MARITIMO;CARGA;MOTOR;ABALROAMENTO;-24,63638889;-42,41194444;0;0;0;3813886140;AÇO;
