Nº DE IAFN;NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);DATA;HORA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LAT DEC;LONG DEC;VF;FER.;DES.;NUMERO INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
02_2020;P-58;1;CPVITO;CPVITO;ILHAS MASHALL;155330;330;07/JAN/2020;18:15;PLATAFORMA;LONGO-CURSO;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;-21,215;-39,99694444;0;1;0;461E000971;AÇO;
02_2020;SEM NOME;8;DLGUAI;DLGUAI;BRASIL;NÃO INSCRITA;6,0;15/JAN/2020;9:00;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;;;0;0;0;A SER APURADO;FIBRA;3/abr/2020
09_2020;BRANCA DE NEVE;5;DCPJAI;DCPJAI;BRASIL;1,9;9,5;21/JAN/2020;9:20;BARCO;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-26,89888889;-48,64277778;0;0;0;4430118574;MADEIRA;NÃO POSSUI
5_2020;SÃO PAULO;4;CPLUIZ;CPLUIZ;BRASIL;NÃO INSCRITA;8;22/JAN/2020;9:00;BARCO;INTERIOR;PESCA;MOTOR;EMBORCAMENTO;;;0;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
08_2020;ENKRENCA - ESTRELA SOLITÁRIA;2;CPSALV;CPSALV;BRASIL;0;4,99;18/JAN/2020;14:20;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-9,466944444;-40,57166667;0;1;0;401M2001119173;MADEIRA;NÃO POSSUI
02_2020;SEM NOME;1;CFBLELZ;CFBLELZ;BRASIL;A SER APURADO;A SER APURADO;A SER APURADO;A SER APURADO;LANCHA;INTERIOR;A SER APURADO;MOTOR;NAUFRÁGIO;;;2;3;0;A SER APURADO;A SER APURADO;NÃO POSSUI
01_2020;SEM NOME;1;CFBLELZ;CFBLELZ;BRASIL;A SER APURADO;A SER APURADO;A SER APURADO;A SER APURADO;LANCHA;INTERIOR;A SER APURADO;MOTOR;NAUFRÁGIO;-20,86055556;-46,05777778;5;1;0;A SER APURADO;ALUMÍNIO;
08_2020;MAGIA I;5;DCPJAI;DCPJAI;BRASIL;2;5,85;08/JAN/2020;15:30;LANCHA;INTERIOR;PASSAGEIRO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-27,14277778;-48,54333333;0;0;0;4430103283;FIBRA;
06_2020;OCEAN VALOR;1;CPRIOJ;CPRIOJ;ILHAS MASHALL;30923;98,82;17/JAN/2020;0:07;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;-25,43805556;-42,78833333;0;1;0;381E006697;AÇO;
05_2020;SÃO JOÃO V;9;CFPVEL;CFPVEL;BRASIL;19;15,97;07/JAN/2020;11:00;EMPURRADOR;INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ALAGAMENTO;-7,51;-63,01888889;0;0;0;140010092;MADEIRA;NÃO POSSUI
04_2020;ABENÇOADA POR DEUS -SEM NOME;9;CFPVEL;AGHMTA;BRASIL;A SER APURADO;A SER APURADO;19/JAN/2020;0:00;EMPURRADOR COM BALSA(COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;EMBORCAMENTO;-6,216666667;-62,06666667;0;0;0;A SER APURADO;A SER APURADO;A SER APURADO
05_2020;ABARÉ LOUNGE;9;CPNAUS;CPNAUS;BRASIL;NÃO INSCRITA;A SER APURADO;11/JAN/2020;20:00;FLUTUANTE;INTERIOR;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;NAUFRÁGIO;-3,012222222;-60,25777778;0;0;0;NÃO INSCRITA;AÇO;
01_2020;J. LUIRINHA;6;CFCUIA;CFCUIA;BRASIL;A SER APURADO;A SER APURADO;14/JAN/2020;9:00;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;NAUFRÁGIO;-17,4925;-56,86583333;0;0;0;A SER APURADO;AÇO;
07_2020;SEM NOME;4;CPBLEM;CPBLEM;BRASIL;A SER APURADO;A SER APURADO;15/JAN/2020;5:00;BARCO;INTERIOR;A SER APURADO;MOTOR;INCÊNDIO;-1,780833333;-48,99972222;0;0;0;A SER APURADO;MADEIRA;NÃO POSSUI
03_2020;PONTO-G;1;DLANGR;DLANGR;BRASIL;5,45;9,14;23/JAN/2020;13:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-22,98027778;-44,33666667;0;0;0;3826674413;FIBRA;
11_2020;RASGA MAR;5;DCPJAI;DCPJAI;BRASIL;5,45;9,33;02JAN/2020;17:15;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-26,99166667;-48,58833333;0;0;0;4430486905;FIBRA;
03_2020;COSTEIRO II;4;CPLUIZ;CPLUIZ;BRASIL;6;10;22/JAN/2020;9:00;BARCO;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;-1,273333333;-44,90888889;1;0;0;1210142384;MADEIRA;NÃO POSSUI
02_2020;PIPES 89;4;CPLUIZ;AGIMPE;BRASIL;151,10;40;05/JAN/2020;3:45;BALSA;INTERIOR;PASSAGEIRO E CARGA;SEM PROPULSÃO;QUEDA DE VEÍCULO NA ÁGUA;-7,338055556;-47,48722222;0;1;0;1270009451;AÇO;
04_2020;BAHIA STAR;4;CPLUIZ;CPLUIZ;BRASIL;169;26,49;22/JAN/2020;9:00;LANCHA;INTERIOR;CARGA;MOTOR;AVARIA DE GORVENO;-2,456666667;-44,41527778;0;0;0;28101939461;ALUMÍNIO;
07_2020;DI MARI;2;CPSALV;CPSALV;BRASIL;9,8;10,94;16/JAN/2020;18:12;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-12,98777778;-38,52500000;0;0;0;2810281114;FIBRA;
07_2020;PETROBRAS 76;1;CPRIOJ;CPRIOJ;BRASIL;164980;332;08/JAN/2020;14:22;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;SEM PROPULSÃO;INCÊNDIO;-24,68888889;-42,50583333;0;0;0;421E000325;AÇO;
08_2020;OCEAN VALOR;1;CPRIOJ;CPRIOJ;ILHAS MASHALL;30923;98,82;21/JAN/2020;19:30;PLATAFORMA;CABOTAGEM;OUTRAS ATIVIDADES OU SERVIÇO;MOTOR;ACIDENTES COM PESSOAS EM GERAL A BORDO;-25,58527778;-42,91000000;0;1;0;381E006697;AÇO;
03_2020;LUNA XIII;8;CPAGUA;CPAGUA;BRASIL;2;6,5;22/JAN/2020;10:00;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;-25,88277778;-48,57472222;0;0;0;4420004240;FIBRA;
02_2020;OSMUNDO FARIA;3;CPNATL;CPNATL;BRASIL;1476;69,3;24/JAN/2020;2:00;BARCAÇA;INTERIOR;CARGA;MOTOR;NAUFRÁGIO;-5,001666667;-13,13055556;0;0;0;210247517;AÇO;
03_2020;BIBELÔ;3;CPNATL;CPNATL;BRASIL;0;7,6;26/JAN/2020;16:20;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ENCALHE;-5,985;-35,11250000;0;0;0;2210140099;FIBRA;
02_2020;AVALON I;5;CPFPOL;CPFPOL;BRASIL;37;15,5;26/JAN/2020;12:15;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;COLISÃO;-27,41444444;-48,55888889;0;0;0;4620815632;AÇO;
09_2020;PARAISO DO SOL  - CALAINHO;1;CPRIOJ;CPRIOJ;BRASIL;4,2;7,8;25/JAN/2020;19:10;TRAINEIRA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;-23,20611111;-44,67500000;0;1;0;3860014528;FIBRA;
1-A_2020;AQUILA;8;CPSANT;CPSANT;BRASIL;174,00;26;11/JAN/2020;4:25;REBOCADOR;LONGO-CURSO;REBOCADOR/EMPURRADOR;MOTOR;COLISÃO;-23,94916667;-46,30833333;0;0;0;3810423351;AÇO;
03_2020;SCUNA AÇORIANA;5;CPFPOL;CPFPOL;BRASIL;42;14,9;26/JAN/2020;6:30;ESCUNA;INTERIOR;PASSAGEIRO;MOTOR;ENCALHE;-27,58861111;-48,43805556;0;0;0;4418918302;MADEIRA;NÃO POSSUI
01_2020;XIMBEBA;2;CPCAJU;CPCAJU;BRASIL;A SER APURADO;6;25/JAN/2020;15:32;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;ENCALHE;-11,06527778;-37,16611111;0;1;0;261M2012000233;ALUMÍNIO;
